filename type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
string enum enum numeric numeric numeric enum enum
VELA02MRP_0.203203_0003387__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 203203 1.593 3.92610837438 7 F160W 15.8441 0.1518 16.7907 0.1338 26.6479 0.0539 2.2101 0.2220 0.948215377891 0.0952462847346 0.5487 0.3848 0.6922 0.1036 81.0697 13.6746 0.538953685413 -1.303e-05
VELA02MRP_0.203203_0003387__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 203203 1.593 3.92610837438 8 F160W 16.0753 0.1536 16.6922 0.1382 26.6363 0.0505 2.3792 0.2628 1.02076558847 0.112751007334 0.9081 0.4063 0.8065 0.1006 -74.4774 22.0089 0.811396010197 -2.876e-05
VELA02MRP_0.204229_0003733__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 204229 1.605 3.90196078431 0 F160W 17.0496 0.1729 16.5771 0.2145 26.7789 0.0534 2.2457 0.2400 0.965882589746 0.103224750207 0.8193 0.4542 0.7900 0.1283 -18.7992 24.0888 0.711743885948 4.681e-06
VELA02MRP_0.204229_0003733__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 204229 1.605 3.90196078431 1 F160W 17.4491 0.1841 16.9599 0.1425 26.7300 0.0533 2.7258 0.2797 1.17237510047 0.120299844303 0.6513 0.2999 0.3504 0.1077 89.0841 5.7178 0.592202028759 1.250e-05
VELA02MRP_0.204229_0003733__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 204229 1.605 3.90196078431 5 F160W 16.5599 0.1635 16.7412 0.1539 26.8239 0.0544 2.1500 0.2130 0.924721720601 0.0916119658084 0.4286 0.3882 0.8612 0.1192 67.2936 36.7975 0.689727190966 2.435e-05
VELA02MRP_0.204229_0003733__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 204229 1.605 3.90196078431 6 F160W 17.2354 0.1399 17.3381 0.1340 26.8010 0.0462 2.0236 0.1952 0.870356685492 0.0839561301681 0.5678 0.4157 0.7092 0.1278 -80.6293 16.9931 0.567701828398 3.617e-05
VELA02MRP_0.204229_0003733__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 204229 1.605 3.90196078431 7 F160W 16.4306 0.1070 16.8508 0.1291 26.7764 0.0498 2.6509 0.3368 1.14016037634 0.14485873279 0.1249 0.3098 0.7267 0.0720 51.8062 12.9734 0.752070400948 7.874e-06
VELA02MRP_0.204229_0003733__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 204229 1.605 3.90196078431 8 F160W 16.4570 0.1300 16.5321 0.1086 26.7879 0.0413 2.3944 0.5347 1.02983892456 0.229976141398 0.0587 0.4279 0.7740 0.1171 88.6970 19.5521 0.612182913402 -1.519e-06
VELA02MRP_0.205282_0003459__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 205282 1.616 3.87804878049 0 F160W 18.0725 0.0932 18.0343 0.1106 26.3488 0.0395 2.4563 0.2026 1.0590617335 0.0873532985415 0.3461 0.2319 0.6908 0.0589 -0.4786 8.9389 0.432289936684 -2.254e-05
VELA02MRP_0.205282_0003459__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 205282 1.616 3.87804878049 1 F160W 17.5399 0.1219 17.8549 0.1025 26.4019 0.0362 2.2096 0.1590 0.952694217459 0.0685546617379 0.8492 0.3533 0.6542 0.0748 -53.7431 9.8205 0.372574670257 -3.496e-05
VELA02MRP_0.205282_0003459__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 205282 1.616 3.87804878049 5 F160W 17.1868 0.0854 17.9833 0.1066 26.4595 0.0405 2.1129 0.1888 0.911000910603 0.0814032712963 1.0230 0.4220 0.5947 0.0867 50.3974 9.3812 0.626453808305 -4.331e-05
VELA02MRP_0.205282_0003459__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 205282 1.616 3.87804878049 6 F160W 16.7501 0.1299 17.8564 0.1178 26.4795 0.0465 2.4794 0.2090 1.06902156172 0.0901127314668 0.6080 0.3094 0.6439 0.0817 79.9263 9.1778 0.660901575497 -3.658e-05
VELA02MRP_0.205282_0003459__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 205282 1.616 3.87804878049 7 F160W 17.5807 0.1530 17.8879 0.1268 26.4869 0.0425 2.6840 0.2176 1.15723718305 0.0938207194601 0.4830 0.2385 0.6619 0.0761 87.3462 9.0523 0.595118086638 -3.681e-05
VELA02MRP_0.205282_0003459__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 205282 1.616 3.87804878049 8 F160W 17.5515 0.1350 17.9647 0.1275 26.5144 0.0435 2.2458 0.2194 0.968302259943 0.0945968099704 0.9639 0.4282 0.7693 0.0820 60.2853 17.4299 0.564291542026 -3.320e-05
VELA02MRP_0.206451_0001736__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 206451 1.628 3.85436893204 0 F160W 18.0196 0.0938 17.9269 0.1356 26.4207 0.0357 2.4347 0.2047 1.05230691339 0.0884738264141 1.0723 0.3900 0.5670 0.0675 11.1095 7.4354 0.428821919574 -1.449e-05
VELA02MRP_0.206451_0001736__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 206451 1.628 3.85436893204 1 F160W 17.5631 0.1335 18.0999 0.1133 26.3961 0.0418 2.2340 0.2089 0.965561935559 0.0902891174299 0.8818 0.3800 0.7865 0.0864 -75.9541 16.4963 0.550673210786 -2.834e-06
VELA02MRP_0.206451_0001736__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 206451 1.628 3.85436893204 5 F160W 17.0961 0.1218 18.0595 0.1106 26.4336 0.0412 2.0508 0.1699 0.886380670298 0.0734328437115 0.6948 0.3407 0.7603 0.0945 63.3580 15.2212 0.396839422043 2.516e-05
VELA02MRP_0.206451_0001736__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 206451 1.628 3.85436893204 6 F160W 16.8024 0.1135 17.8049 0.0974 26.4929 0.0417 2.1305 0.2153 0.920827978384 0.0930552751683 0.9823 0.4086 0.8232 0.0883 66.3973 23.5509 0.555611001667 1.264e-05
VELA02MRP_0.206451_0001736__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 206451 1.628 3.85436893204 7 F160W 17.4178 0.1478 18.1145 0.1153 26.5300 0.0447 2.6114 0.2908 1.1286787997 0.125687292238 0.2183 0.2776 0.7252 0.0699 89.5126 12.5050 0.713620171139 1.705e-05
VELA02MRP_0.206451_0001736__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 206451 1.628 3.85436893204 8 F160W 17.4188 0.1348 18.0842 0.1247 26.5239 0.0448 2.3107 0.2047 0.998712607206 0.0884738264141 0.6040 0.3464 0.8216 0.0855 83.2867 22.6963 0.582186909936 -4.076e-06
VELA02MRP_0.207815_0003071__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 207815 1.652 3.80769230769 0 F160W 17.1640 0.0851 18.1032 0.0990 26.5807 0.0397 1.9801 0.1919 0.859939980384 0.0833404788827 0.5733 0.3870 0.6379 0.0834 4.5892 11.5094 0.600653339377 6.973e-05
VELA02MRP_0.207815_0003071__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 207815 1.652 3.80769230769 1 F160W 17.8215 0.0934 17.3542 0.1238 26.4518 0.0384 2.0863 0.2005 0.906061704497 0.0870753830953 0.9772 0.4328 0.7516 0.0862 15.4137 13.3179 0.3907500082 7.329e-05
VELA02MRP_0.207815_0003071__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 207815 1.652 3.80769230769 5 F160W 18.0314 0.1175 17.6746 0.1148 26.4327 0.0395 2.4858 0.1912 1.07956103391 0.0830364750515 0.2556 0.1959 0.8623 0.0714 -18.3288 21.2198 0.544727943533 3.654e-05
VELA02MRP_0.207815_0003071__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 207815 1.652 3.80769230769 6 F160W 17.5507 0.0833 17.5944 0.1158 26.4299 0.0360 2.0564 0.1552 0.893076397991 0.0674019923012 0.7832 0.3370 0.6832 0.0831 -17.3922 12.0976 0.359819182406 8.268e-06
VELA02MRP_0.207815_0003071__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 207815 1.652 3.80769230769 7 F160W 18.0645 0.1131 17.5830 0.1279 26.4283 0.0410 2.3112 0.2208 1.00373379257 0.0958914942017 1.1304 0.4378 0.8037 0.0883 0.9961 20.8999 0.587760197541 -8.463e-06
VELA02MRP_0.207815_0003071__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 207815 1.652 3.80769230769 8 F160W 18.1003 0.1119 17.4192 0.1008 26.3906 0.0421 1.9995 0.2252 0.868365229422 0.0978023754267 1.4014 0.5575 0.8582 0.0981 74.1233 29.1129 0.449709670586 -1.155e-05
VELA02MRP_0.208885_0003788__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 208885 1.664 3.78468899522 0 F160W 17.3892 0.1279 17.4582 0.1453 26.3936 0.0913 2.5467 0.4250 1.10862822018 0.185010795766 2.8506 1.4421 0.5356 0.0898 -3.9095 8.4688 0.4476516783 -7.985e-05
VELA02MRP_0.208885_0003788__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 208885 1.664 3.78468899522 1 F160W 17.6697 0.1257 18.1156 0.1491 26.4343 0.0433 2.5399 0.1945 1.10566804745 0.0846696465331 0.8823 0.3531 0.6386 0.0807 -17.1514 8.7769 0.474741775113 -5.596e-05
VELA02MRP_0.208885_0003788__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 208885 1.664 3.78468899522 5 F160W 17.3780 0.1012 17.7658 0.1554 26.5331 0.0439 2.5808 0.2247 1.1234726158 0.0978162960205 0.2868 0.2893 0.5432 0.0652 14.0542 6.9095 0.42651538051 -2.655e-05
VELA02MRP_0.208885_0003788__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 208885 1.664 3.78468899522 6 F160W 17.5048 0.1312 17.7126 0.1717 26.5435 0.0475 2.8083 0.2191 1.22250780647 0.0953785067115 0.8327 0.3563 0.5203 0.0755 -9.4891 6.2569 0.735571361277 -2.998e-05
VELA02MRP_0.208885_0003788__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 208885 1.664 3.78468899522 7 F160W 17.4632 0.1543 18.0972 0.1799 26.5758 0.0420 2.6686 0.2137 1.1616936696 0.0930277813065 0.7006 0.2667 0.6634 0.0787 8.2908 10.8073 0.756798831379 -2.925e-05
VELA02MRP_0.208885_0003788__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 208885 1.664 3.78468899522 8 F160W 17.1082 0.1183 17.8961 0.1108 26.5116 0.0448 2.4200 0.2106 1.05347323707 0.0916782907962 0.6566 0.3646 0.7190 0.0932 36.4476 13.8480 0.71725590735 -2.872e-05
VELA02MRP_0.210049_0003118__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 210049 1.676 3.7619047619 0 F160W 17.3036 0.1505 17.6550 0.1753 26.4848 0.0525 2.1834 0.2147 0.95270567508 0.0936822883758 1.1118 0.4748 0.7612 0.0923 -3.6037 17.0833 0.57189360649 -2.543e-05
VELA02MRP_0.210049_0003118__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 210049 1.676 3.7619047619 1 F160W 17.5286 0.1304 17.9671 0.1589 26.4555 0.0538 2.3271 0.3173 1.01540779357 0.138450815564 2.0621 0.8429 0.7353 0.0973 14.2408 14.4327 0.551634058289 -4.323e-05
VELA02MRP_0.210049_0003118__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 210049 1.676 3.7619047619 5 F160W 17.4468 0.1346 18.0572 0.1675 26.5704 0.0389 2.7094 0.2709 1.18222073649 0.118204620033 1.0950 0.3769 0.7372 0.0765 -0.5518 13.5083 0.863458256457 -2.010e-05
VELA02MRP_0.210049_0003118__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 210049 1.676 3.7619047619 6 F160W 17.6429 0.1521 18.1837 0.1375 26.5367 0.0462 2.3086 0.2212 1.00733549578 0.0965185011119 1.2610 0.4758 0.7638 0.0885 -29.0042 15.0729 0.90532443691 -1.498e-05
VELA02MRP_0.210049_0003118__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 210049 1.676 3.7619047619 7 F160W 17.6673 0.1232 17.9857 0.1498 26.5528 0.0443 2.3108 0.2455 1.00829544471 0.107121573341 1.0881 0.4263 0.6876 0.0865 -26.3041 11.9500 0.528893978569 -1.345e-05
VELA02MRP_0.210049_0003118__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 210049 1.676 3.7619047619 8 F160W 17.5930 0.1200 18.1471 0.1321 26.5735 0.0448 2.3469 0.2038 1.0240473339 0.0889261777876 0.8389 0.3564 0.8445 0.0929 4.4383 24.6860 0.668526719168 -9.164e-06
VELA02MRP_0.211482_0003124__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 211482 1.687 3.73933649289 0 F160W 17.1383 0.1992 17.4636 0.2187 26.9565 0.0674 2.7432 0.4631 1.19974925481 0.202538597223 1.2890 0.7691 0.7399 0.1058 -33.9655 19.2480 1.05174880852 1.267e-05
VELA02MRP_0.211482_0003124__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 211482 1.687 3.73933649289 1 F160W 17.4953 0.1554 18.1996 0.2011 26.9304 0.0543 2.2047 0.3517 0.964234172526 0.153817371287 1.3482 0.6726 0.8796 0.1262 -5.9134 44.4035 0.814596162852 1.347e-05
VELA02MRP_0.211482_0003124__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 211482 1.687 3.73933649289 7 F160W 17.9500 0.1484 18.6346 0.1470 26.8345 0.0493 3.4059 0.2639 1.48958369311 0.115417697705 0.3977 0.1640 0.6733 0.0854 -41.4978 11.5812 1.02359576207 6.063e-06
VELA02MRP_0.211482_0003124__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 211482 1.687 3.73933649289 8 F160W 17.9589 0.1969 18.2920 0.2024 26.8577 0.0607 2.9511 0.2490 1.29067513337 0.108901124397 0.7034 0.3869 0.6677 0.1046 -41.6446 12.0709 1.04762723153 -4.828e-07
VELA02MRP_0.219720_0002328__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 219720 1.796 3.54545454545 5 F160W 17.8676 0.2268 18.3108 0.1730 27.2975 0.0707 2.0006 0.3132 0.892558458466 0.139732734775 0.7222 0.6441 0.8551 0.1882 87.7016 49.2649 0.821547502979 -2.568e-05
VELA02MRP_0.219720_0002328__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 219720 1.796 3.54545454545 8 F160W 17.8022 0.1791 18.7202 0.1718 27.3357 0.0752 2.7625 1.9269 1.23247662777 0.859677543546 0.0558 0.5044 0.8104 0.1350 36.3784 27.9650 1.04175104975 -2.315e-05
VELA02MRP_0.231715_0002714__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 231715 1.943 3.31034482759 0 F160W 18.1554 0.3148 18.9669 0.2718 27.2289 0.0749 2.7830 0.5138 1.27172599565 0.234787214001 1.2530 0.7972 0.7587 0.1645 -68.1051 30.3000 1.27533323684 -1.868e-05
VELA02MRP_0.237910_0002383__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 237910 2.019 3.20168067227 0 F160W 18.6674 0.1705 18.5293 0.1666 27.3511 0.0631 2.0077 0.4584 0.927542116836 0.211777310533 0.2566 0.6179 0.7072 0.1851 67.5307 25.5468 0.711619248733 -9.720e-07
VELA02MRP_0.237910_0002383__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 237910 2.019 3.20168067227 1 F160W 18.5846 0.1855 18.3306 0.1618 27.1808 0.1179 2.4900 0.5290 1.15036104544 0.244393973107 2.5526 1.6509 0.5193 0.1475 -5.8245 13.6693 0.734881823449 -2.709e-05
VELA02MRP_0.245883_0002083__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 245883 2.120 3.06504065041 1 F160W 18.8607 0.1584 18.3638 0.1546 26.8167 0.0878 2.7988 0.5203 1.31072300101 0.243664848302 2.2074 1.2483 0.4932 0.1223 29.5405 9.0568 0.89900617512 -2.231e-05
VELA02MRP_0.246920_0002701__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 246920 2.133 3.04858299595 6 F160W 18.9955 0.1635 17.8744 0.2237 26.9760 0.0601 2.4407 0.2938 1.14487415758 0.137814572663 0.9880 0.5564 0.6612 0.1249 8.7014 15.0112 0.789104588753 1.339e-05
VELA02MRP_0.248174_0003031__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 248174 2.146 3.03225806452 0 F160W 18.8187 0.1415 18.0901 0.1623 26.6982 0.0525 2.4063 0.2658 1.13055083323 0.124880692961 0.4417 0.3479 0.5413 0.0970 -0.3662 9.7828 0.70041809276 -1.468e-05
VELA02MRP_0.248174_0003031__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 248174 2.146 3.03225806452 1 F160W 18.7693 0.1346 18.4380 0.1849 26.6613 0.0514 2.3820 0.2199 1.1191339753 0.103315516863 0.8330 0.4248 0.6480 0.0891 3.9837 12.1075 0.581631255387 -1.394e-05
VELA02MRP_0.248174_0003031__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 248174 2.146 3.03225806452 5 F160W 18.3436 0.1167 18.1585 0.1702 26.6212 0.0447 2.7470 0.2896 1.29062175909 0.136062636124 1.2437 0.4612 0.4898 0.0811 -17.0038 6.4582 0.725590057064 -2.297e-05
VELA02MRP_0.248174_0003031__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 248174 2.146 3.03225806452 6 F160W 19.5508 0.1360 18.2241 0.1701 26.5340 0.0406 2.9913 0.2050 1.40540111684 0.0963150566482 0.7906 0.2749 0.6782 0.0727 16.0121 10.1909 1.06595989774 -2.869e-05
VELA02MRP_0.248174_0003031__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 248174 2.146 3.03225806452 7 F160W 18.2440 0.1326 18.4998 0.1159 26.5596 0.0431 3.0055 0.2419 1.41207269637 0.113651766845 0.5675 0.2354 0.7023 0.0709 -30.9657 11.2901 0.729427340564 -3.096e-05
VELA02MRP_0.248174_0003031__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 248174 2.146 3.03225806452 8 F160W 18.0706 0.1091 18.1310 0.1566 26.5665 0.0491 2.7089 0.2688 1.27272125344 0.126290181595 1.1580 0.5413 0.4305 0.0912 -32.8696 5.6734 0.543505021577 -2.381e-05
VELA02MRP_0.249487_0003164__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 249487 2.159 3.01606425703 1 F160W 18.3730 0.1246 18.1813 0.1068 26.7312 0.0438 2.4965 0.1920 1.1747936538 0.0903506435125 0.4552 0.2793 0.6406 0.0817 -65.0166 11.9035 0.608156075826 2.247e-05
VELA02MRP_0.249487_0003164__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 249487 2.159 3.01606425703 5 F160W 18.3475 0.1402 17.9199 0.1201 26.6099 0.0425 2.5925 0.3256 1.21996897555 0.153219632957 1.6968 0.7177 0.4963 0.0884 -42.6320 8.0518 0.645535823174 -3.225e-06
VELA02MRP_0.249487_0003164__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 249487 2.159 3.01606425703 6 F160W 19.2043 0.1337 17.7951 0.1853 26.6817 0.0546 2.6517 0.2861 1.24782709064 0.134631870359 0.9839 0.4270 0.6187 0.0913 20.1279 10.1143 0.730984493201 2.873e-05
VELA02MRP_0.249487_0003164__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 249487 2.159 3.01606425703 7 F160W 18.0076 0.1221 18.4611 0.1093 26.7272 0.0580 2.1719 0.1981 1.02204459711 0.0932211587491 0.5225 0.4208 0.6635 0.1092 -37.9788 14.0380 0.495182849914 3.134e-05
VELA02MRP_0.250775_0003175__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 250775 2.184 2.98406374502 0 F160W 19.3030 0.1393 19.2193 0.1598 26.4472 0.0660 2.3442 0.3592 1.10657907542 0.169560278087 2.1430 0.9120 0.7577 0.1072 -76.8307 17.8330 0.572789176528 -7.472e-06
VELA02MRP_0.250775_0003175__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 250775 2.184 2.98406374502 1 F160W 19.3498 0.1503 18.9733 0.1253 26.5980 0.0484 2.3345 0.2619 1.10200019263 0.123629835275 1.3128 0.6012 0.6158 0.1176 -47.0098 12.2887 0.751045299007 2.566e-05
VELA02MRP_0.250775_0003175__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 250775 2.184 2.98406374502 5 F160W 19.2666 0.1471 19.2293 0.1256 26.5467 0.0451 2.2740 0.2296 1.07344118143 0.108382627641 1.0664 0.4911 0.6221 0.0920 -72.4504 11.0364 0.632321853521 2.908e-05
VELA02MRP_0.250775_0003175__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 250775 2.184 2.98406374502 6 F160W 19.2454 0.1228 18.7466 0.1396 26.5095 0.0423 2.8752 0.2517 1.35723750433 0.118814927601 0.3563 0.2009 0.7009 0.0601 -23.4662 10.4466 0.628612225428 2.781e-05
VELA02MRP_0.250775_0003175__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 250775 2.184 2.98406374502 7 F160W 19.1679 0.1358 18.8754 0.1468 26.5382 0.0492 2.1004 0.2772 0.991493341017 0.130852196786 1.5821 0.7448 0.5018 0.1044 -60.8038 7.9011 0.437690102653 1.407e-05
VELA02MRP_0.250775_0003175__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 250775 2.184 2.98406374502 8 F160W 19.3570 0.1412 18.9791 0.1179 26.6358 0.0497 2.4990 0.2978 1.17965238012 0.140576422089 1.3003 0.6317 0.6137 0.0969 -46.4070 10.8017 0.720707363653 1.046e-05
VELA02MRP_0.252015_0002901__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 252015 2.197 2.96825396825 0 F160W 19.5567 0.1047 19.3813 0.1112 26.4305 0.0670 1.8336 0.3016 0.866883150726 0.142589418771 2.5413 1.1369 0.8195 0.0871 -33.0790 28.4880 0.465340549247 -6.455e-06
VELA02MRP_0.252015_0002901__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 252015 2.197 2.96825396825 1 F160W 19.3509 0.1395 19.5087 0.1332 26.4268 0.0431 2.3255 0.2929 1.09944195409 0.138476262461 1.8300 0.6767 0.5476 0.0963 -83.5891 7.8902 0.594624057525 -7.341e-06
VELA02MRP_0.252015_0002901__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 252015 2.197 2.96825396825 5 F160W 19.5008 0.1633 19.5442 0.1289 26.4532 0.0481 2.6096 0.3417 1.23375778258 0.161547759927 1.9634 0.8687 0.5553 0.0988 -76.7118 8.8889 0.740529418411 -9.888e-07
VELA02MRP_0.252015_0002901__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 252015 2.197 2.96825396825 6 F160W 19.6086 0.1102 19.6301 0.1383 26.4354 0.0446 2.3893 0.2477 1.12960510037 0.117106760708 1.0881 0.4199 0.7481 0.0951 14.9306 17.2502 0.638418194336 2.449e-05
VELA02MRP_0.252015_0002901__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 252015 2.197 2.96825396825 7 F160W 19.3882 0.1513 19.5590 0.1101 26.4757 0.0453 2.2596 0.2494 1.06828597697 0.117910480907 1.3803 0.5968 0.4566 0.0989 -86.1681 6.7778 0.417811510333 1.600e-05
VELA02MRP_0.252015_0002901__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 252015 2.197 2.96825396825 8 F160W 19.3773 0.1287 19.6678 0.1195 26.4562 0.0415 2.0630 0.2764 0.975338099884 0.130675448768 1.8501 0.7474 0.6203 0.1027 -75.6084 10.9009 0.337714450182 7.017e-06
VELA02MRP_0.253309_0003875__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 253309 2.210 2.95256916996 0 F160W 19.5348 0.1112 19.4872 0.1153 26.5052 0.0491 1.9688 0.2720 0.932220504238 0.128791130208 2.0338 1.1310 0.6319 0.0918 -30.0659 12.2496 0.546126996442 5.308e-06
VELA02MRP_0.253309_0003875__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 253309 2.210 2.95256916996 1 F160W 19.6206 0.1272 19.7220 0.1159 26.4193 0.0815 1.5019 0.3032 0.711144847275 0.143564230437 3.4965 1.9038 0.7227 0.0998 -83.6258 20.8333 0.271042592731 -1.943e-05
VELA02MRP_0.253309_0003875__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 253309 2.210 2.95256916996 5 F160W 19.5559 0.1012 19.6249 0.1457 26.4976 0.0672 1.7226 0.3433 0.815645591528 0.162551452207 2.7837 1.5421 0.5886 0.0907 -74.5861 11.8416 0.4968521079 -8.973e-06
VELA02MRP_0.253309_0003875__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 253309 2.210 2.95256916996 6 F160W 19.5339 0.1007 19.5128 0.1099 26.4337 0.0529 1.9173 0.3013 0.907835418923 0.142664586513 2.1633 0.9242 0.9147 0.1142 21.6764 58.1763 0.489317494177 -4.922e-06
VELA02MRP_0.253309_0003875__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02MRP 253309 2.210 2.95256916996 7 F160W 19.7302 0.1892 19.4891 0.1680 26.5438 0.0646 2.1023 0.3596 0.995432327336 0.170269450083 2.5417 1.3290 0.6514 0.1253 84.7671 14.4997 0.806751849034 1.424e-06
