filename type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
string enum enum numeric numeric numeric enum enum
VELA02_a0.230_0007037__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 230 1.919 3.34782608696 8 F160W 18.6240 0.1016 18.1586 0.1215 26.3539 0.0402 2.1831 0.1900 0.993812676095 0.0864937054913 1.1512 0.3773 0.8645 0.0822 -62.9608 25.0442 0.522303754034 -3.003e-05
VELA02_a0.240_0003829__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 240 2.044 3.16666666667 0 F160W 19.0179 0.0672 19.2288 0.0797 25.9374 0.0285 2.1966 0.1280 1.0183746485 0.0593425999307 0.8299 0.2467 0.7889 0.0592 39.6371 12.8345 0.364444018855 -2.388e-05
VELA02_a0.240_0003829__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 240 2.044 3.16666666667 1 F160W 18.4353 0.1267 18.8043 0.0908 26.3015 0.0395 2.2802 0.1510 1.05713278408 0.0700057233558 0.4397 0.2925 0.6246 0.0650 -75.0903 8.7035 0.4023274935 -1.795e-05
VELA02_a0.240_0003829__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 240 2.044 3.16666666667 5 F160W 19.1157 0.0828 19.0176 0.0921 25.9440 0.0279 2.0931 0.1462 0.970390593086 0.0677803758584 0.9897 0.2769 0.8293 0.0758 -26.6121 16.5341 0.326643487337 -1.969e-05
VELA02_a0.240_0003829__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 240 2.044 3.16666666667 6 F160W 19.1907 0.1048 18.9174 0.0902 26.2535 0.0359 2.3446 0.1808 1.08698952967 0.0838214224021 0.5091 0.2954 0.5268 0.0740 78.4651 6.9338 0.364106119012 -8.354e-06
VELA02_a0.240_0003829__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 240 2.044 3.16666666667 7 F160W 19.0480 0.1099 18.8143 0.1090 26.0015 0.0351 2.1046 0.1568 0.975722154798 0.0726946849151 0.9464 0.3204 0.8723 0.0779 16.0533 24.4585 0.341574780598 -1.582e-05
VELA02_a0.240_0003829__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 240 2.044 3.16666666667 8 F160W 19.0700 0.0973 18.9468 0.0942 25.9832 0.0316 2.0840 0.1216 0.966171705122 0.0563754699342 0.5259 0.2393 0.8459 0.0705 -74.1444 20.1319 0.23405949895 -9.602e-06
VELA02_a0.250_0003475__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 250 2.171 3.0 0 F160W 19.1843 0.0967 19.0694 0.1138 25.9057 0.0307 3.0308 0.1954 1.42846555765 0.0920952124736 0.8368 0.1778 0.7935 0.0471 17.5059 10.8728 0.462938501393 -1.231e-06
VELA02_a0.250_0003475__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 250 2.171 3.0 1 F160W 20.4121 0.1303 19.5837 0.0801 26.0549 0.0305 3.3279 0.1915 1.56849364171 0.0902570787549 0.4569 0.1279 0.4384 0.0468 -82.0586 3.4039 0.455929426929 -1.174e-05
VELA02_a0.250_0003475__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 250 2.171 3.0 5 F160W 18.8368 0.0834 19.0645 0.0747 25.8326 0.0253 3.2024 0.1692 1.50934344128 0.0797467244142 0.5104 0.0933 0.8404 0.0454 -29.6318 12.2801 0.52952744135 -2.573e-05
VELA02_a0.250_0003475__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 250 2.171 3.0 6 F160W 19.7152 0.1087 19.3798 0.0951 26.1182 0.0351 3.2555 0.2291 1.53437033883 0.107978573069 0.4731 0.1802 0.4185 0.0554 83.8822 3.8850 0.476611380728 -2.359e-05
VELA02_a0.250_0003475__skipir_CAMERA7-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 250 2.171 3.0 7 F160W 18.6782 0.1190 19.8860 0.0939 25.8039 0.0284 3.3794 0.1708 1.59276643313 0.0805008305552 0.6217 0.1048 0.7562 0.0455 -87.5059 7.8215 0.487086427972 -3.817e-05
VELA02_a0.250_0003475__skipir_CAMERA8-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 250 2.171 3.0 8 F160W 18.6957 0.1311 19.7440 0.1080 25.8519 0.0404 3.8204 0.2046 1.80061693825 0.0964313227846 0.1073 0.1092 0.7417 0.0340 -82.4417 6.5637 0.579858268673 -1.064e-05
VELA02_a0.260_0003884__skipir_CAMERA0-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 260 2.301 2.84615384615 0 F160W 19.2488 0.0683 19.3532 0.0691 25.5746 0.0262 2.8108 0.1361 1.34456010838 0.0651041094173 0.9828 0.1835 0.8473 0.0409 55.7392 12.7973 0.367627748845 -2.395e-05
VELA02_a0.260_0003884__skipir_CAMERA1-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 260 2.301 2.84615384615 1 F160W 19.8035 0.0976 19.4821 0.0790 25.8460 0.0259 2.7668 0.1298 1.32351249034 0.0620904731988 0.7388 0.2195 0.4723 0.0502 -84.0290 3.7261 0.441483332209 -7.264e-06
VELA02_a0.260_0003884__skipir_CAMERA5-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 260 2.301 2.84615384615 5 F160W 19.1671 0.0945 19.5578 0.0860 25.6300 0.0265 2.5190 0.1329 1.20497613242 0.0635733735603 1.0700 0.2178 0.8372 0.0526 51.6722 14.0241 0.367677798357 -2.648e-05
VELA02_a0.260_0003884__skipir_CAMERA6-BROADBAND_F160W_candelized_noise_single_multi.fits central VELA02 260 2.301 2.84615384615 6 F160W 19.2716 0.0989 19.5526 0.0739 25.7984 0.0293 3.0787 0.1463 1.4727114009 0.0699833299614 0.6691 0.1644 0.4014 0.0465 -89.5744 2.9548 0.347163248206 -7.232e-06
