galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
disk VELA02 230 1.919 3.34782608696 1 F160W 17.4405 nan 18.9071 nan 27.5365 nan 3.4514 nan 1.57118092175 nan 1.0000 0.0 0.0500 nan -56.8714 nan 1.20938094674 5.654e-07
bulge VELA02 230 1.919 3.34782608696 1 F160W 18.4221 nan 19.2580 nan 27.7312 nan 0.1817 nan 0.0827152962514 nan 0.1344 nan 0.0500 nan 31.5452 nan 0 5.654e-07
disk VELA02 230 1.919 3.34782608696 5 F160W 19.2568 1.2242 19.1822 0.8884 26.7548 0.5845 2.5899 1.6505 1.17900025185 0.751357162702 1.0000 0.0 0.1318 1.3662 70.3923 29.0969 0.449233193865 7.824e-05
bulge VELA02 230 1.919 3.34782608696 5 F160W 18.2201 120.6166 15.9369 234.8403 27.4733 6022.5137 0.0110 195.7781 0.00500753031792 89.1240701213 5.4283 37689.0234 0.8412 908.8535 -80.8296 369291.0312 0 7.824e-05
disk VELA02 230 1.919 3.34782608696 6 F160W 18.4462 1.1645 18.2420 1.2491 26.9783 3.9651 2.0732 6.7176 0.943782895919 3.05805324215 1.0000 0.0 0.0504 0.9990 29.3386 60.5714 0 1.138e-04
bulge VELA02 230 1.919 3.34782608696 6 F160W 15.6373 38.5070 16.8519 63.6793 27.3651 659.8260 4.715e-03 8.330e+00 0.00214640958627 3.79206614075 16.7758 6062.8032 0.0594 27.1939 16.9818 1519.5826 0 1.138e-04
disk VELA02 230 1.919 3.34782608696 7 F160W 19.2235 2.1245 19.4737 22.9731 26.9077 9.4871 2.5885 6.7180 1.17836292981 3.05823533416 1.0000 0.0 0.0666 10.8259 -89.6353 672.9973 0 1.138e-04
bulge VELA02 230 1.919 3.34782608696 7 F160W 17.4117 1.5756 16.9000 2.9495 27.6020 2.2824 1.8933 1084.5957 0.861887013719 493.740531857 0.0190 102.4770 0.5812 3.3245 -42.2432 392.7842 0.147638078737 1.138e-04
disk VELA02 230 1.919 3.34782608696 8 F160W 19.0587 0.6543 18.5821 5.3514 26.8765 5.6073 2.5238 5.8741 1.14890954694 2.67406671277 1.0000 0.0 0.0398 1.6581 -12.8608 85.3942 1.46212352706 1.511e-04
bulge VELA02 230 1.919 3.34782608696 8 F160W 18.8354 2.1577 18.6356 6.1825 27.3984 7.1746 1.0699 7.1755 0.487050607922 3.26650307238 2.3043 24.8217 0.9403 5.3120 83.8145 2521.1892 0.376313172237 1.511e-04
disk VELA02 240 2.044 3.16666666667 0 F160W 18.8292 28136.0352 19.6942 72573.2969 26.0347 1529.7231 1.000e-02 6.318e+01 0.00463614061959 29.2911364346 1.0000 0.0 0.5838 1853.8461 -13.5716 96326.6875 0 9.683e-06
bulge VELA02 240 2.044 3.16666666667 0 F160W 18.8292 30902.6582 19.6942 3925.1860 26.0347 1739.2972 1.000e-02 7.332e+01 0.00463614061959 33.9921830228 2.5000 28370.0859 1.0000 12022.5205 -65.4577 10571224186880.0000 0 9.683e-06
disk VELA02 240 2.044 3.16666666667 1 F160W 17.7411 0.8383 19.9227 1.6708 26.4586 0.2739 6.1046 2.3226 2.83017840263 1.07679002031 1.0000 0.0 0.1341 0.2437 29.7372 8.1363 0.339150358995 -3.489e-04
bulge VELA02 240 2.044 3.16666666667 1 F160W 16.5875 2.6898 17.8305 0.5140 26.3677 1.0962 6.4038 16.8474 2.96889172997 7.81069154744 5.1858 23.6330 0.0339 0.0856 -83.8902 4.4754 0.295156219589 -3.489e-04
disk VELA02 240 2.044 3.16666666667 5 F160W 19.2425 0.3188 19.6404 1.6287 25.8854 0.3275 4.0516 1.4665 1.87837873343 0.679890021862 1.0000 0.0 0.0456 0.1156 -16.4941 6.7784 0.333892687468 -1.984e-04
bulge VELA02 240 2.044 3.16666666667 5 F160W 12.0793 5.7553 17.1262 3.1300 27.2713 0.9552 6.8175 3.7968 3.1606888674 1.76024987044 0.3085 1.0726 0.3055 0.2530 -43.5838 32.0635 0.728325479278 -1.984e-04
disk VELA02 240 2.044 3.16666666667 6 F160W 17.8351 nan 21.1520 nan 26.2932 nan 8.350e-03 nan 0.00387117741736 nan 1.0000 0.0 0.4499 nan -8.0503 nan 0 -9.442e-05
bulge VELA02 240 2.044 3.16666666667 6 F160W 17.0524 nan 17.5281 nan 26.2966 nan 7.916e-03 nan 0.00366996891447 nan 3.3828 nan 0.5523 nan -64.0000 nan 0 -9.442e-05
disk VELA02 240 2.044 3.16666666667 7 F160W 14.2185 nan 14.0654 nan 26.3363 nan 4.333e-03 nan 0.00200883973047 nan 1.0000 0.0 0.0507 nan -51.2596 nan 0 -7.591e-06
bulge VELA02 240 2.044 3.16666666667 7 F160W 17.1128 nan 19.5350 nan 26.4164 nan 6.403e-03 nan 0.00296852083872 nan 3.1306 nan 0.3074 nan 19.9820 nan 0 -7.591e-06
disk VELA02 240 2.044 3.16666666667 8 F160W 20.2502 1420344.5000 20.2053 44940.6133 26.3297 122.3257 0.0160 18.1241 0.00741782499134 8.40258762035 1.0000 0.0 0.8841 23545.7812 25.3126 5170491.5000 0 -1.115e-05
bulge VELA02 240 2.044 3.16666666667 8 F160W 19.4146 1149.7975 19.0755 1316.5295 26.3298 725.5153 0.0163 40.8256 0.00755690920993 18.9273222479 2.5225 1673.8363 0.9840 14601.1006 23.9994 58935660.0000 0 -1.115e-05
disk VELA02 250 2.171 3.0 0 F160W 18.9198 0.8957 19.0327 1.0290 25.9921 0.2370 3.4525 1.1828 1.62721965745 0.557472964758 1.0000 0.0 0.5200 0.2840 -13.8041 28.5680 0.291838712755 1.815e-04
bulge VELA02 250 2.171 3.0 0 F160W 16.6952 18.3350 21.4139 6.2927 28.7574 6.6045 8.9958 159.9696 4.23986751469 75.3962860866 0.0521 4.3060 0.0682 0.1753 84.2975 55.0804 0.390021328343 1.815e-04
disk VELA02 250 2.171 3.0 1 F160W 15.1551 nan 15.2448 nan 26.5160 nan 3.927e-03 nan 0.0018508592599 nan 1.0000 0.0 0.0500 nan 12.3557 nan 0 2.027e-04
bulge VELA02 250 2.171 3.0 1 F160W 17.6536 nan 17.6364 nan 26.5258 nan 6.632e-03 nan 0.00312576995458 nan 3.9608 nan 0.2534 nan 88.0000 nan 0 2.027e-04
disk VELA02 250 2.171 3.0 5 F160W 20.4003 14.4604 24.6842 10.5299 24.3439 4.4191 84.6610 306.5354 39.9021125037 144.47514224 1.0000 0.0 0.1794 0.4362 -54.2679 12.6775 2.43984442064 -6.047e-04
bulge VELA02 250 2.171 3.0 5 F160W 18.9372 0.7429 18.7561 0.8420 25.8870 0.2280 3.5254 1.2942 1.6615786185 0.609977604828 0.6625 0.7367 0.6760 0.2887 44.7434 38.6735 0.294701918678 -6.047e-04
disk VELA02 250 2.171 3.0 6 F160W 17.7734 22.7891 17.9449 18.2662 24.2062 11.3601 84.9620 787.7147 40.0439787215 371.262807907 1.0000 0.0 0.2469 1.4275 -51.3418 34.9604 3.28531131748 -8.336e-04
bulge VELA02 250 2.171 3.0 6 F160W 19.6900 1.5202 19.1655 1.2677 25.2361 46.1932 36.7697 5281.9155 17.3301603587 2489.45307185 19.6527 731.4493 0.5104 0.5666 -66.8486 58.9746 3.19215918485 -8.336e-04
disk VELA02 250 2.171 3.0 7 F160W 19.2647 1.5299 20.8363 0.9448 26.5628 0.3789 5.6872 3.0214 2.6804702783 1.42403518407 1.0000 0.0 0.0431 0.1506 53.3962 8.8743 0.446031709219 4.590e-05
bulge VELA02 250 2.171 3.0 7 F160W 17.6316 1.2419 18.6156 1.0253 26.1102 0.7324 6.5310 15.0769 3.07816700443 7.10598929859 6.1383 19.4378 0.0616 0.1050 -62.3533 5.8690 0.365407321161 4.590e-05
disk VELA02 250 2.171 3.0 8 F160W 18.6307 0.8628 19.9000 2.7606 26.0922 1.3434 3.3854 1.3029 1.59559433116 0.61407805697 1.0000 0.0 0.6317 0.3476 23.7038 54.7819 0.378307487189 2.190e-04
bulge VELA02 250 2.171 3.0 8 F160W 17.5912 10.7893 16.8067 16.5462 28.0474 10.0330 0.8725 56.9191 0.411223505032 26.8269017825 19.7739 2075.6772 0.6441 7.3528 -14.7537 1011.8812 0.495635737576 2.190e-04
disk VELA02 260 2.301 2.84615384615 0 F160W 17.0601 3.4600 17.7458 5.7981 26.6256 1.4079 6.2923 5.9151 3.00995288528 2.82951739614 1.0000 0.0 0.0113 0.0181 29.3494 0.8052 0.261352521565 -1.169e-04
bulge VELA02 260 2.301 2.84615384615 0 F160W 20.2369 1.0027 19.6048 0.6421 25.8465 0.3445 3.7088 80.2298 1.77412285824 38.3783223933 0.0419 2.0818 0.6077 0.4310 74.9092 48.6676 0.325848458972 -1.169e-04
disk VELA02 260 2.301 2.84615384615 1 F160W 20.1609 0.7782 18.9268 0.5533 25.9621 0.2753 2.6039 1.2067 1.24558846812 0.577230924569 1.0000 0.0 0.4820 0.4442 72.6289 36.2538 0.319118798743 -3.950e-04
bulge VELA02 260 2.301 2.84615384615 1 F160W 22.5761 4.4299 24.0242 3.5629 25.4331 14.4010 112.4271 3129.8469 53.7800603958 1497.17777397 7.0046 66.0680 0.0981 0.1360 -53.0044 8.2430 2.33552023153 -3.950e-04
disk VELA02 260 2.301 2.84615384615 5 F160W 19.6314 0.6323 19.8872 0.6988 25.7338 0.2532 2.5484 1.1763 1.2190397681 0.562688933928 1.0000 0.0 0.7380 0.4154 10.8132 70.6633 0.29252844612 -2.226e-04
bulge VELA02 260 2.301 2.84615384615 5 F160W 12.8921 9.5328 20.8964 5.7923 27.1459 2.0521 9.6084 17.8211 4.59622575257 8.52481149402 0.6031 3.2540 0.0170 0.0200 58.9363 5.9780 0.553984586253 -2.226e-04
