galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
bulge VELA02 230 1.919 3.34782608696 5 F160W 300.4537 296.8536 21.9667 17.5564 2.0989729584 2.6312 0.7121 -81.9366 0.000e+00
disk VELA02 230 1.919 3.34782608696 6 F160W 301.0403 299.7351 20.0686 31.4054 3.7547040024 1.0000 0.5361 89.5060 0.000e+00
bulge VELA02 230 1.919 3.34782608696 6 F160W 298.5129 297.6186 24.0966 222.1096 26.5545353376 19.6471 0.6733 -24.5220 0.000e+00
disk VELA02 230 1.919 3.34782608696 7 F160W 302.1773 297.2827 19.8998 30.1975 3.61029231 1.0000 0.8823 -84.1284 0.000e+00
bulge VELA02 230 1.919 3.34782608696 7 F160W 297.9203 303.5754 22.3645 20.0390 2.395782684 2.4097 0.6369 0.7942 0.000e+00
disk VELA02 230 1.919 3.34782608696 8 F160W 302.4695 298.2643 19.7887 28.8922 3.4542358632 1.0000 0.9241 -78.6205 0.000e+00
bulge VELA02 230 1.919 3.34782608696 8 F160W 297.7831 297.5038 24.6455 67.8284 8.1092921904 19.5946 0.4694 -38.7387 0.000e+00
disk VELA02 240 2.044 3.16666666667 0 F160W 301.8930 301.8525 19.3362 28.9210 3.457679076 1.0000 0.9491 77.6653 0.000e+00
bulge VELA02 240 2.044 3.16666666667 0 F160W 347.2208 398.3499 21.8611 8662.3809 1035.63961088 4.8469 0.4714 44.6030 0.000e+00
disk VELA02 240 2.044 3.16666666667 5 F160W 302.7557 300.7211 19.3211 28.8277 3.4465245012 1.0000 0.9353 56.5672 0.000e+00
bulge VELA02 240 2.044 3.16666666667 5 F160W 851.0826 443.2596 21.7885 3113.8550 372.28004838 4.7972 0.8269 49.5235 0.000e+00
disk VELA02 240 2.044 3.16666666667 6 F160W 296.7348 301.4856 19.7919 29.4538 3.5213785128 1.0000 0.5546 82.6310 0.000e+00
bulge VELA02 240 2.044 3.16666666667 6 F160W 327.4016 291.6229 21.2237 33.9654 4.0607673624 1.3141 0.8121 -62.9529 0.000e+00
