sim,aexp,hid,difference_halo_gas,difference_stars_gas,difference_stars_halo,export_maxncellwside,export_ncells,export_ncellwside,export_ncellwside_actual,export_nstars,export_super_level,fake_halo,flag_bad_halo,halo_a[x],halo_a[y],halo_a[z],halo_b_to_a,halo_c_to_a,halo_descid,halo_dr,halo_good,halo_id,halo_jx,halo_jy,halo_jz,halo_m200b,halo_m200c,halo_m2500c,halo_m500c,halo_mvir,halo_mvir_all,halo_norm_dr,halo_np,halo_rs,halo_rs_klypin,halo_rvir,halo_scale,halo_spin,halo_spin_bullock,halo_t/|u|,halo_vmax,halo_voff,halo_vrms,halo_vx,halo_vy,halo_vz,halo_x,halo_xoff,halo_y,halo_z,mass_gas,mass_metals,mass_sfr,mass_ssfr,mass_stars,mass_stars_middle,mass_stars_young,metal_modification,prefix,scale,sim_resolution_pc,sim_resolution_pchcm,sim_width_mpchcm
VL03,0.231,5659,24.428,11.448,19.081,2.0,1570000.0,4.0,2.0,195300.0,-2.0,0.0,1.0,16.776,-13.2,45.332,0.819,0.759,6057.0,0.066,1.0,5659.0,-5309.0,-6770.0,5034.0,179300000000.0,177600000000.0,62820000000.0,123200000000.0,184300000000.0,184300000000.0,3.965,172000.0,23.694,21.149,148.1,0.231,0.0,0.0,0.001,170.8,0.0,0.0,0.0,-0.0,0.0,19.659,25.785,21.017,17.967,1137000000000000.0,277300000.0,5.804,0.0,16820000000.0,688200000.0,58040000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.231_0005659_,0.231,50.268,152.6,40.0
VL03,0.240,6057,38.121,40.006,8.086,2.0,1518000.0,4.0,2.0,203700.0,-2.0,0.0,1.0,14.245,-10.099,47.182,0.826,0.756,6126.0,0.073,1.0,6057.0,-3370.0,-4301.0,6354.0,181700000000.0,179800000000.0,66460000000.0,126400000000.0,186500000000.0,186500000000.0,4.537,180200.0,21.091,18.001,148.6,0.24,0.0,0.0,0.001,173.5,0.0,0.0,0.0,-0.0,0.0,19.678,25.994,20.988,18.023,1137000000000000.0,280300000.0,7.855,0.0,17330000000.0,623500000.0,78550000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.240_0006057_,0.24,52.325,152.6,40.0
VL03,0.250,6126,23.908,3.916,23.003,2.0,1584000.0,4.0,2.0,215000.0,-2.0,0.0,1.0,10.812,-9.256,47.098,0.865,0.773,6032.0,0.076,1.0,6126.0,-3217.0,-4308.0,7641.0,186600000000.0,184800000000.0,70430000000.0,138000000000.0,190400000000.0,190400000000.0,5.022,182900.0,19.3,16.341,149.5,0.25,0.0,0.0,0.001,174.9,0.0,0.0,0.0,-0.0,0.0,19.698,22.318,20.959,18.087,1137000000000000.0,295600000.0,9.64,0.0,18050000000.0,701600000.0,96400000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.250_0006126_,0.25,54.534,152.6,40.0
VL03,0.261,6032,25.171,20.484,36.32,2.0,1735000.0,4.0,2.0,225700.0,-2.0,0.0,1.0,8.278,-6.892,46.338,0.895,0.783,5806.0,0.062,1.0,6032.0,-2084.0,-4412.0,7949.0,191300000000.0,189400000000.0,78880000000.0,149300000000.0,194800000000.0,194800000000.0,4.588,186100.0,15.314,14.085,150.5,0.261,0.0,0.0,0.001,178.7,0.0,0.0,0.0,-0.0,0.0,19.717,17.368,20.929,18.154,1137000000000000.0,327300000.0,2.454,0.0,18750000000.0,695000000.0,24540000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.261_0006032_,0.261,56.876,152.6,40.0
VL03,0.271,5806,4051.0,4058.0,12.923,2.0,1881000.0,4.0,2.0,236600.0,-2.0,0.0,1.0,10.774,-9.236,42.248,0.907,0.796,5844.0,0.061,1.0,5806.0,-6946.0,-5143.0,8835.0,194100000000.0,192400000000.0,90140000000.0,153800000000.0,197000000000.0,197000000000.0,4.74,199500.0,12.291,11.7,150.9,0.271,0.0,0.0,0.001,184.3,0.0,0.0,0.0,-0.0,0.0,19.729,16.14,20.906,18.211,1136000000000000.0,341600000.0,6.279,0.0,19410000000.0,779200000.0,62790000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.271_0005806_,0.271,58.973,152.6,40.0
VL03,0.281,5844,24.921,13.924,11.101,2.0,2179000.0,4.0,2.0,250500.0,-2.0,0.0,1.0,17.331,-19.659,35.378,0.887,0.807,8513.0,0.055,1.0,5844.0,-7460.0,-5470.0,9115.0,195600000000.0,194000000000.0,92310000000.0,160600000000.0,197900000000.0,197900000000.0,4.511,202100.0,11.359,11.022,151.0,0.281,0.0,0.0,0.0,184.1,0.0,0.0,0.0,-0.0,0.0,19.745,15.447,20.883,18.265,1136000000000000.0,337600000.0,20.941,0.0,20600000000.0,970800000.0,209400000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.281_0005844_,0.281,61.162,152.6,40.0
VL03,0.291,8513,84.034,45.875,39.797,2.0,1730000.0,4.0,2.0,248300.0,-2.0,0.0,1.0,19.541,-19.585,34.024,0.854,0.816,5649.0,0.054,1.0,8513.0,-5999.0,-7825.0,8699.0,198700000000.0,196800000000.0,97210000000.0,165400000000.0,201100000000.0,201100000000.0,4.606,208100.0,10.346,10.366,151.6,0.291,0.0,0.0,0.0,185.1,0.0,0.0,0.0,-0.0,0.0,19.759,16.759,20.86,18.313,1136000000000000.0,334800000.0,2.492,0.0,21180000000.0,559900000.0,24920000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.291_0008513_,0.291,63.338,152.6,40.0
VL03,0.301,5649,59.783,45.08,20.95,2.0,2002000.0,4.0,2.0,258000.0,-2.0,0.0,1.0,21.392,-13.345,36.854,0.859,0.799,5629.0,0.052,1.0,5649.0,-11900.0,-8409.0,4668.0,206600000000.0,203900000000.0,103000000000.0,168000000000.0,210200000000.0,210200000000.0,4.576,220600.0,10.684,10.435,153.7,0.301,0.0,0.0,0.0,185.1,0.0,0.0,0.0,-0.0,0.0,19.774,17.021,20.837,18.36,1136000000000000.0,347800000.0,3.693,0.0,22990000000.0,819100000.0,36930000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.301_0005649_,0.301,65.518,152.6,40.0
VL03,0.310,5629,75.135,46.744,29.943,2.0,2044000.0,4.0,2.0,265700.0,-2.0,0.0,1.0,20.31,-11.982,41.105,0.829,0.75,5592.0,0.054,1.0,5629.0,-17780.0,-12690.0,-5755.0,222500000000.0,219400000000.0,105500000000.0,177500000000.0,225100000000.0,225100000000.0,4.955,221700.0,11.609,10.946,157.1,0.31,0.0,0.0,0.001,185.3,0.0,0.0,0.0,-0.0,0.0,19.788,18.849,20.816,18.405,1136000000000000.0,364600000.0,12.937,0.0,23790000000.0,754200000.0,129400000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.310_0005629_,0.31,67.639,152.6,40.0
VL03,0.321,5592,44.482,35.505,20.488,2.0,2090000.0,4.0,2.0,272200.0,-2.0,0.0,1.0,16.466,-9.579,40.663,0.857,0.759,5635.0,0.047,1.0,5592.0,-13560.0,-11680.0,-7693.0,224100000000.0,221500000000.0,107300000000.0,180500000000.0,226100000000.0,226100000000.0,4.667,240300.0,10.235,10.235,157.1,0.321,0.0,0.0,0.0,185.8,0.0,0.0,0.0,-0.0,0.0,19.801,22.221,20.794,18.452,1136000000000000.0,392500000.0,1.663,0.0,24360000000.0,535200000.0,16630000.0,None,/u/cmoody3/data2/export_sunrise_fits/VL03/VL03_a0.321_0005592_,0.321,69.91,152.6,40.0
