galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 240 2.044 3.16666666667 1 F160W 296.6573 0.0481 299.8832 0.0331 19.7160 0.0024 33.7274 0.0494 33.7274 0.0494 0.8197 0.0028 0.5122 0.0011 -87.8203 0.1027 0.446992525742 0.000e+00
central VELA02 240 2.044 3.16666666667 5 F160W 302.7919 0.0422 300.7523 0.0401 19.3168 0.0025 29.2733 0.0679 29.2733 0.0679 0.9762 0.0029 0.9389 0.0015 54.0926 1.2126 0.375716587791 0.000e+00
central VELA02 240 2.044 3.16666666667 6 F160W 301.7348 0.0455 300.1167 0.0326 19.5586 0.0022 34.0989 0.0473 34.0989 0.0473 0.8087 0.0028 0.5477 0.0010 81.2514 0.1079 0.385170690886 0.000e+00
central VELA02 240 2.044 3.16666666667 7 F160W 299.8588 0.0532 298.3321 0.0475 19.3825 0.0027 29.1702 0.0718 29.1702 0.0718 1.0693 0.0033 0.9378 0.0021 -59.3567 1.3084 0.38614079272 0.000e+00
central VELA02 240 2.044 3.16666666667 8 F160W 300.4083 0.0498 298.1790 0.0456 19.3748 0.0027 29.3518 0.0718 29.3518 0.0718 1.0495 0.0034 0.9528 0.0021 -54.3033 1.7345 0.383103645599 0.000e+00
central VELA02 250 2.171 3.0 0 F160W 298.3561 0.0614 301.8058 0.0641 19.5782 0.0027 32.0681 0.0931 32.0681 0.0931 1.0767 0.0026 0.9626 0.0019 -23.4199 2.4512 0.300370883829 0.000e+00
other VELA02 250 2.171 3.0 0 F160W 344.6502 0.0647 234.3159 0.1121 21.6506 0.0071 16.2893 0.0873 16.2893 0.0873 0.5303 0.0084 0.5903 0.0041 9.3622 0.5222 0.656004306887 0.000e+00
other VELA02 250 2.171 3.0 1 F160W 351.4176 0.0734 304.8291 0.0387 20.6463 0.0045 31.5598 0.0613 31.5598 0.0613 0.1838 0.0022 0.4996 0.0011 -55.4700 0.1627 0.595587974281 0.000e+00
central VELA02 250 2.171 3.0 1 F160W 297.2146 0.0596 301.7647 0.0353 19.9002 0.0020 32.3729 0.0675 32.3729 0.0675 1.0680 0.0020 0.5444 0.0014 -88.3608 0.1392 0.354909143333 0.000e+00
central VELA02 250 2.171 3.0 5 F160W 299.6679 0.0692 301.7283 0.0622 19.5275 0.0028 33.8247 0.0909 33.8247 0.0909 0.9831 0.0027 0.8859 0.0015 -71.7007 0.7352 0.305917358765 0.000e+00
other VELA02 250 2.171 3.0 6 F160W 359.7318 0.0472 272.2961 0.0293 21.8374 0.0070 19.6071 0.1536 19.6071 0.1536 2.2462 0.0157 0.5874 0.0038 -70.8757 0.4293 0.597346423834 0.000e+00
central VELA02 250 2.171 3.0 6 F160W 296.9764 0.0549 300.9250 0.0333 19.6354 0.0022 38.3369 0.0543 38.3369 0.0543 0.6589 0.0020 0.4787 0.0009 88.9845 0.0845 0.331827311691 0.000e+00
central VELA02 250 2.171 3.0 7 F160W 301.8985 0.0819 301.4020 0.0732 19.5928 0.0031 34.5813 0.1055 34.5813 0.1055 0.9976 0.0031 0.8799 0.0017 74.3175 0.7238 0.348370484286 0.000e+00
