galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
central VELA02 270 2.434 2.7037037037 8 F160W 19.2671 19.6048 25.7277 3.7610 1.823134757 0.8230 0.2636 -80.8020 -9.297e-05
central VELA02 280 2.568 2.57142857143 0 F160W 20.7967 20.6610 25.4531 3.7589 1.8437793058 0.5534 0.7753 27.2385 2.728e-04
central VELA02 280 2.568 2.57142857143 1 F160W 20.2176 21.1165 26.1055 1.000e-02 0.00490510337013 0.7199 0.9376 30.8425 2.324e-04
central VELA02 280 2.568 2.57142857143 5 F160W 21.3226 19.9847 25.3977 4.0449 1.98406526218 0.2554 0.6831 68.2251 -1.098e-05
central VELA02 280 2.568 2.57142857143 6 F160W 21.4137 20.2921 25.5195 4.7671 2.33831182757 0.5301 0.2287 77.7442 -7.473e-05
central VELA02 280 2.568 2.57142857143 7 F160W 20.1290 19.7692 25.2618 3.9538 1.93937977048 1.4431 0.6565 54.0066 -8.998e-05
central VELA02 280 2.568 2.57142857143 8 F160W 20.0903 19.2951 25.3595 3.8380 1.88257867346 0.1738 0.8969 -59.0318 1.076e-04
central VELA02 290 2.704 2.44827586207 0 F160W 22.2991 20.7595 25.2941 4.6045 2.28226759008 0.4812 0.8105 -26.4064 1.244e-04
central VELA02 290 2.704 2.44827586207 1 F160W 21.5223 21.1507 26.1040 0.0101 0.00500616845691 4.9727 0.9973 -78.9185 2.538e-04
central VELA02 290 2.704 2.44827586207 5 F160W 21.5604 21.6104 25.6997 0.0144 0.00713750750293 19.6350 0.9969 -76.1780 2.776e-04
other VELA02 290 2.704 2.44827586207 6 F160W 21.6461 20.3931 26.0269 9.655e-03 0.00478559964866 2.4549 0.7133 77.7894 1.958e-04
central VELA02 290 2.704 2.44827586207 6 F160W 29.0329 37.3511 26.7722 0.6330 0.313752933983 4.2752 0.8947 87.3935 1.958e-04
central VELA02 290 2.704 2.44827586207 7 F160W 22.2695 21.7786 25.2007 4.4952 2.2280919255 0.2314 0.6471 -58.3865 1.382e-05
central VELA02 290 2.704 2.44827586207 8 F160W 22.2480 21.9738 25.1749 4.6140 2.2869763624 0.2648 0.7232 -48.9457 2.983e-05
central VELA02 300 2.842 2.33333333333 0 F160W 20.9411 21.7300 24.9570 5.2698 2.63602190038 0.4856 0.6540 -48.0014 4.062e-04
central VELA02 300 2.842 2.33333333333 1 F160W 23.3482 22.1448 25.1527 4.7711 2.38656573094 0.8825 0.3396 -86.2990 3.648e-04
central VELA02 300 2.842 2.33333333333 5 F160W 21.7215 21.7825 24.9681 4.4418 2.22184562547 0.7197 0.6026 81.5314 3.625e-04
central VELA02 300 2.842 2.33333333333 6 F160W 21.4005 21.9542 25.2522 4.3930 2.19743523632 0.9144 0.3637 73.7979 2.829e-04
central VELA02 300 2.842 2.33333333333 7 F160W 21.2686 23.0926 24.9537 6.0656 3.03409132016 0.8472 0.4439 79.8634 3.720e-04
central VELA02 300 2.842 2.33333333333 8 F160W 21.1832 22.3562 24.9554 5.5842 2.79328883375 0.5430 0.5353 77.4319 3.379e-04
central VELA02 310 2.982 2.22580645161 0 F160W 22.1502 22.6845 25.4567 4.1526 2.09367317755 0.2200 0.6105 35.6435 3.898e-04
