galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
bulge VELA28 230 1.919 3.34782608696 5 F160W 295.4977 302.6487 21.3382 20.8440 2.492025264 3.0213 0.5811 -87.3376 0.000e+00
disk VELA28 230 1.919 3.34782608696 6 F160W 295.2335 297.9898 23.2725 21.0313 2.5144181028 1.0000 0.0684 -86.5714 0.000e+00
bulge VELA28 230 1.919 3.34782608696 6 F160W 301.0211 300.7849 21.1748 21.2661 2.5424898516 1.1966 0.4859 -89.2454 0.000e+00
disk VELA28 230 1.919 3.34782608696 7 F160W 297.9034 301.5592 21.5666 13.5348 1.6181665488 1.0000 0.4340 84.1782 0.000e+00
bulge VELA28 230 1.919 3.34782608696 7 F160W 320.2513 301.0468 20.7890 207.2926 24.7830740856 9.3869 0.5035 -84.9599 0.000e+00
disk VELA28 230 1.919 3.34782608696 8 F160W 298.0897 301.5519 21.5462 13.4339 1.6061033484 1.0000 0.4522 84.3252 0.000e+00
bulge VELA28 230 1.919 3.34782608696 8 F160W 318.7825 300.6808 21.3476 83.6502 10.0008833112 8.0247 0.5483 -85.2253 0.000e+00
disk VELA28 260 2.301 2.84615384615 0 F160W 299.2571 301.2680 20.8539 8.2231 0.9831209436 1.0000 0.9302 -28.7769 0.000e+00
other VELA28 260 2.301 2.84615384615 0 F160W 238.5258 374.5190 22.0740 14.2264 1.7008514784 2.5570 0.6109 -56.8493 0.000e+00
bulge VELA28 260 2.301 2.84615384615 0 F160W 296.7174 299.4971 29.9247 39.4857 4.7207523492 19.8584 0.0467 61.0304 0.000e+00
other VELA28 260 2.301 2.84615384615 1 F160W 455.0853 31.1520 23.1086 9.0132 1.0775821392 0.3095 0.3582 47.2619 0.000e+00
disk VELA28 260 2.301 2.84615384615 1 F160W 299.2038 300.9735 22.1139 6.5115 0.778488894 1.0000 0.3035 75.6749 0.000e+00
other VELA28 260 2.301 2.84615384615 1 F160W 275.0542 534.3988 22.0447 17.6445 2.109505842 2.7363 0.6826 -82.1617 0.000e+00
bulge VELA28 260 2.301 2.84615384615 1 F160W 304.5295 300.3167 20.6970 60.7364 7.2614010384 7.7915 0.6665 -71.8576 0.000e+00
disk VELA28 260 2.301 2.84615384615 6 F160W 302.2808 300.0460 22.1347 6.5519 0.7833189564 1.0000 0.5105 84.0638 0.000e+00
other VELA28 260 2.301 2.84615384615 6 F160W 417.3820 33.7780 23.0282 12.3416 1.4755123296 0.3303 0.2510 61.3580 0.000e+00
other VELA28 260 2.301 2.84615384615 6 F160W 396.2712 534.5419 22.1480 15.6254 1.8681103224 2.3304 0.5534 41.0428 0.000e+00
bulge VELA28 260 2.301 2.84615384615 6 F160W 295.7937 300.5023 21.5885 11.8706 1.4192014536 3.2959 0.5276 -79.4519 0.000e+00
disk VELA28 260 2.301 2.84615384615 7 F160W 304.4830 300.0924 23.3601 1.7388 0.2078839728 1.0000 0.6419 -61.6407 0.000e+00
other VELA28 260 2.301 2.84615384615 7 F160W 465.2560 50.5492 22.9565 9.5742 1.1446530552 0.7725 0.3701 57.0187 0.000e+00
other VELA28 260 2.301 2.84615384615 7 F160W 283.8577 544.6627 22.0517 17.5157 2.0941070292 2.5961 0.6375 -80.9890 0.000e+00
bulge VELA28 260 2.301 2.84615384615 7 F160W 299.2887 300.2348 21.1254 11.5061 1.3756232916 1.8269 0.4349 78.8745 0.000e+00
other VELA28 260 2.301 2.84615384615 8 F160W 472.3328 49.2178 22.9096 10.3192 1.2337222752 0.9328 0.3582 58.4094 0.000e+00
disk VELA28 260 2.301 2.84615384615 8 F160W 304.4155 300.0620 23.2679 1.8670 0.223211052 1.0000 0.6222 -66.4788 0.000e+00
other VELA28 260 2.301 2.84615384615 8 F160W 290.3453 544.7098 22.0451 17.4280 2.083621968 2.6087 0.6482 -81.7330 0.000e+00
bulge VELA28 260 2.301 2.84615384615 8 F160W 298.9450 300.2513 21.1423 11.2626 1.3465114056 1.8115 0.4458 79.0477 0.000e+00
other VELA28 270 2.434 2.7037037037 0 F160W 364.6308 249.1388 22.5195 10.6881 1.2778264836 2.0849 0.6051 -52.2575 0.000e+00
other VELA28 270 2.434 2.7037037037 0 F160W 563.4255 108.9062 20.8255 35.9064 4.2928255584 3.7894 0.5962 -24.3984 0.000e+00
disk VELA28 270 2.434 2.7037037037 0 F160W 301.3698 300.8622 21.0600 8.3938 1.0035291528 1.0000 0.9051 -82.7262 0.000e+00
bulge VELA28 270 2.434 2.7037037037 0 F160W 270.9921 327.2422 22.7328 8.2641 0.9880227396 1.1542 0.7949 58.6503 0.000e+00
disk VELA28 270 2.434 2.7037037037 1 F160W 304.7487 300.7462 23.3628 3.2327 0.3864886812 1.0000 0.5158 65.9159 0.000e+00
other VELA28 270 2.434 2.7037037037 1 F160W 335.5635 578.1097 22.4272 10.4705 1.251811098 2.2404 0.7785 -25.3988 0.000e+00
other VELA28 270 2.434 2.7037037037 1 F160W 280.3606 401.6483 22.9135 5.7076 0.6823778256 1.2384 0.7972 -89.3957 0.000e+00
bulge VELA28 270 2.434 2.7037037037 1 F160W 298.3793 299.7988 21.4677 11.3632 1.3585387392 1.4291 0.5081 79.0954 0.000e+00
disk VELA28 270 2.434 2.7037037037 5 F160W 303.5824 300.1533 22.9780 3.2038 0.3830335128 1.0000 0.6974 -89.0541 0.000e+00
other VELA28 270 2.434 2.7037037037 5 F160W 262.3987 561.4826 22.5277 8.4719 1.0128664764 1.8440 0.9158 -56.7064 0.000e+00
other VELA28 270 2.434 2.7037037037 5 F160W 315.9466 406.1521 22.8276 8.1274 0.9716794344 1.6752 0.5573 68.8012 0.000e+00
bulge VELA28 270 2.434 2.7037037037 5 F160W 298.5663 300.9496 21.4249 10.9497 1.3091023332 1.4540 0.5826 84.8854 0.000e+00
disk VELA28 270 2.434 2.7037037037 6 F160W 298.1255 300.9626 22.9066 5.1279 0.6130712124 1.0000 0.2712 -86.0210 0.000e+00
other VELA28 270 2.434 2.7037037037 6 F160W 217.8604 575.4158 22.5192 10.9018 1.3033756008 1.9958 0.6319 5.3931 0.000e+00
other VELA28 270 2.434 2.7037037037 6 F160W 340.2208 400.1824 22.8617 7.8642 0.9402122952 1.2506 0.5214 78.0798 0.000e+00
bulge VELA28 270 2.434 2.7037037037 6 F160W 301.4561 300.2257 21.6719 10.2363 1.2238110828 0.7537 0.6136 87.8977 0.000e+00
disk VELA28 270 2.434 2.7037037037 7 F160W 304.1220 299.8601 22.9419 3.4588 0.4135202928 1.0000 0.6577 84.2243 0.000e+00
other VELA28 270 2.434 2.7037037037 7 F160W 297.2030 549.4481 22.4351 10.1586 1.2145215816 2.1413 0.8104 -46.3170 0.000e+00
other VELA28 270 2.434 2.7037037037 7 F160W 298.5905 408.1696 22.9759 6.4103 0.7663898268 1.1532 0.5659 78.8785 0.000e+00
bulge VELA28 270 2.434 2.7037037037 7 F160W 298.5094 301.2279 21.4256 10.4692 1.2516556752 1.5190 0.6607 86.9882 0.000e+00
disk VELA28 270 2.434 2.7037037037 8 F160W 304.1013 299.9146 22.9761 3.1887 0.3812282172 1.0000 0.7101 84.3556 0.000e+00
other VELA28 270 2.434 2.7037037037 8 F160W 291.4482 550.7760 22.4921 9.3007 1.1119544892 1.9269 0.8287 -44.0467 0.000e+00
other VELA28 270 2.434 2.7037037037 8 F160W 301.5342 408.0208 22.9473 6.6286 0.7924889016 1.2532 0.5789 77.1133 0.000e+00
bulge VELA28 270 2.434 2.7037037037 8 F160W 298.5335 301.1523 21.4179 10.5779 1.2646514124 1.4731 0.6406 85.6170 0.000e+00
disk VELA28 280 2.568 2.57142857143 0 F160W 301.4180 303.2680 22.5390 5.0989 0.6096040884 1.0000 0.6574 82.3682 0.000e+00
other VELA28 280 2.568 2.57142857143 0 F160W 487.1646 300.0429 23.3027 6.5517 0.7832950452 0.8972 0.7191 36.5236 0.000e+00
other VELA28 280 2.568 2.57142857143 0 F160W 463.1279 219.7053 19.7058 23.3258 2.7887393448 2.6602 0.4666 8.0761 0.000e+00
bulge VELA28 280 2.568 2.57142857143 0 F160W 300.0969 298.3943 21.4197 8.2586 0.9873651816 1.2781 0.6999 68.6070 0.000e+00
other VELA28 280 2.568 2.57142857143 1 F160W 341.0041 464.7695 19.7980 20.4878 2.4494394168 1.4771 0.5175 -20.4767 0.000e+00
other VELA28 280 2.568 2.57142857143 1 F160W 254.3960 606.4991 23.2289 1.000e-02 0.00119556 2.2650 0.7661 -15.3953 0.000e+00
disk VELA28 280 2.568 2.57142857143 1 F160W 297.1454 302.3145 19.0726 359.5854 42.9905920824 1.0000 0.4015 72.0403 0.000e+00
bulge VELA28 280 2.568 2.57142857143 1 F160W 297.1454 302.3145 19.0726 359.5854 42.9905920824 2.5000 1.0000 0.000e+00 0.000e+00
other VELA28 280 2.568 2.57142857143 5 F160W 184.6738 393.1161 19.4506 32.4319 3.8774282364 2.9844 0.5861 29.9237 0.000e+00
other VELA28 280 2.568 2.57142857143 5 F160W 129.1822 570.3811 23.1615 6.6717 0.7976417652 1.2081 0.7512 40.4299 0.000e+00
disk VELA28 280 2.568 2.57142857143 5 F160W 296.6252 301.0547 23.1535 3.6625 0.43787385 1.0000 0.6376 74.2307 0.000e+00
bulge VELA28 280 2.568 2.57142857143 5 F160W 302.5150 300.3844 21.3676 8.4147 1.0060278732 1.5854 0.6996 87.7452 0.000e+00
other VELA28 280 2.568 2.57142857143 6 F160W 122.8582 428.4215 19.7651 23.3402 2.7904609512 2.4511 0.3882 47.3775 0.000e+00
other VELA28 280 2.568 2.57142857143 6 F160W 154.2804 577.2565 23.0357 7.8725 0.94120461 1.3380 0.6916 79.8312 0.000e+00
disk VELA28 280 2.568 2.57142857143 6 F160W 298.4055 300.4404 22.1922 5.7517 0.6876502452 1.0000 0.4271 85.2019 0.000e+00
bulge VELA28 280 2.568 2.57142857143 6 F160W 303.3318 301.0118 21.4681 14.1607 1.6929966492 2.1131 0.6959 78.1836 0.000e+00
disk VELA28 280 2.568 2.57142857143 7 F160W 300.5860 300.4295 21.3969 8.3687 1.0005282972 1.0000 0.4949 83.3768 0.000e+00
other VELA28 280 2.568 2.57142857143 7 F160W 178.3915 526.9297 23.1524 7.4503 0.8907280668 1.1636 0.6232 43.5456 0.000e+00
other VELA28 280 2.568 2.57142857143 7 F160W 257.1479 371.0829 20.2013 14.2448 1.7030513088 0.1240 0.4598 0.8246 0.000e+00
