galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
other VELA28 270 2.434 2.7037037037 0 F160W 364.6254 249.1385 22.5085 10.8370 1.295628372 2.1082 0.6057 -52.2476 0.000e+00
other VELA28 270 2.434 2.7037037037 0 F160W 563.4261 108.9066 20.8219 36.0902 4.3147999512 3.7969 0.5960 -24.3700 0.000e+00
central VELA28 270 2.434 2.7037037037 0 F160W 301.2823 300.9648 21.2877 6.6395 0.793792062 0.5855 0.9073 -82.0153 0.000e+00
central VELA28 270 2.434 2.7037037037 1 F160W 300.8986 300.2444 21.5339 8.4157 1.0061474292 0.7172 0.4562 89.2234 0.000e+00
other VELA28 270 2.434 2.7037037037 1 F160W 335.5635 578.1097 22.4272 10.4712 1.2518947872 2.2405 0.7785 -25.3984 0.000e+00
other VELA28 270 2.434 2.7037037037 1 F160W 280.3606 401.6483 22.9135 5.7077 0.6823897812 1.2384 0.7972 -89.3956 0.000e+00
central VELA28 270 2.434 2.7037037037 5 F160W 301.3948 300.4299 21.3673 8.3999 1.0042584444 1.0212 0.4678 83.5674 0.000e+00
other VELA28 270 2.434 2.7037037037 5 F160W 262.3987 561.4826 22.5277 8.4719 1.0128664764 1.8440 0.9158 -56.7063 0.000e+00
other VELA28 270 2.434 2.7037037037 5 F160W 315.9465 406.1521 22.8275 8.1278 0.9717272568 1.6753 0.5573 68.8014 0.000e+00
central VELA28 270 2.434 2.7037037037 6 F160W 298.9956 300.8862 21.3221 10.7516 1.2854182896 1.4306 0.4073 -88.8320 0.000e+00
other VELA28 270 2.434 2.7037037037 6 F160W 217.8604 575.4158 22.5192 10.9017 1.3033636452 1.9958 0.6319 5.3931 0.000e+00
other VELA28 270 2.434 2.7037037037 6 F160W 340.2201 400.1827 22.8614 7.8672 0.9405709632 1.2513 0.5214 78.0750 0.000e+00
central VELA28 270 2.434 2.7037037037 7 F160W 301.3264 300.4812 21.3942 8.4098 1.0054420488 0.9069 0.4680 81.3378 0.000e+00
other VELA28 270 2.434 2.7037037037 7 F160W 297.2030 549.4481 22.4350 10.1591 1.2145813596 2.1414 0.8104 -46.3166 0.000e+00
other VELA28 270 2.434 2.7037037037 7 F160W 298.5900 408.1697 22.9758 6.4108 0.7664496048 1.1533 0.5658 78.8765 0.000e+00
central VELA28 270 2.434 2.7037037037 8 F160W 301.4928 300.4262 21.3846 8.4780 1.013595768 0.9265 0.4658 81.6500 0.000e+00
other VELA28 270 2.434 2.7037037037 8 F160W 291.4485 550.7764 22.4921 9.3004 1.1119186224 1.9271 0.8287 -44.0404 0.000e+00
other VELA28 270 2.434 2.7037037037 8 F160W 301.5336 408.0208 22.9476 6.6267 0.7922617452 1.2528 0.5789 77.1101 0.000e+00
central VELA28 280 2.568 2.57142857143 0 F160W 300.4109 300.1956 21.2698 5.6838 0.6795323928 0.6359 0.9791 11.8786 0.000e+00
other VELA28 280 2.568 2.57142857143 0 F160W 487.1646 300.0433 23.3029 6.5506 0.7831635336 0.8969 0.7191 36.5226 0.000e+00
other VELA28 280 2.568 2.57142857143 0 F160W 463.1294 219.7022 19.7054 23.3386 2.7902696616 2.6604 0.4664 8.0569 0.000e+00
other VELA28 280 2.568 2.57142857143 1 F160W 341.0041 464.7695 19.7980 20.4878 2.4494394168 1.4771 0.5175 -20.4767 0.000e+00
other VELA28 280 2.568 2.57142857143 1 F160W 254.3960 606.4991 23.2289 1.000e-02 0.00119556 2.2650 0.7661 -15.3953 0.000e+00
central VELA28 280 2.568 2.57142857143 1 F160W 297.1454 302.3145 19.0726 359.5854 42.9905920824 6.5461 0.4015 72.0403 0.000e+00
other VELA28 280 2.568 2.57142857143 5 F160W 184.6640 393.1418 19.4436 32.7743 3.9183642108 3.0053 0.5863 30.0648 0.000e+00
other VELA28 280 2.568 2.57142857143 5 F160W 129.1814 570.3843 23.1603 6.6841 0.7991242596 1.2108 0.7508 40.4451 0.000e+00
central VELA28 280 2.568 2.57142857143 5 F160W 301.1277 300.3875 21.3164 7.9605 0.951725538 0.9948 0.4962 83.9149 0.000e+00
other VELA28 280 2.568 2.57142857143 6 F160W 122.8586 428.4213 19.7621 23.4345 2.801735082 2.4570 0.3881 47.3771 0.000e+00
other VELA28 280 2.568 2.57142857143 6 F160W 154.2814 577.2568 23.0343 7.8853 0.9427349268 1.3405 0.6916 79.8207 0.000e+00
central VELA28 280 2.568 2.57142857143 6 F160W 300.1558 300.5384 21.3872 7.8631 0.9400807836 0.9368 0.4243 89.2734 0.000e+00
central VELA28 280 2.568 2.57142857143 7 F160W 300.6230 300.4379 21.4490 7.5124 0.8981524944 0.7572 0.5094 82.8642 0.000e+00
other VELA28 280 2.568 2.57142857143 7 F160W 178.4029 526.9415 23.1234 7.6926 0.9196964856 1.2043 0.6242 43.3187 0.000e+00
other VELA28 280 2.568 2.57142857143 7 F160W 257.2323 371.1525 20.0896 14.4538 1.7280385128 0.1513 0.4643 0.9304 0.000e+00
other VELA28 280 2.568 2.57142857143 8 F160W 244.5558 375.2128 20.0814 14.6547 1.7520573132 0.1546 0.4626 3.8106 0.000e+00
other VELA28 280 2.568 2.57142857143 8 F160W 168.8184 533.1096 23.1436 7.5574 0.9035325144 1.1395 0.6239 42.2808 0.000e+00
central VELA28 280 2.568 2.57142857143 8 F160W 300.6741 300.4329 21.4320 7.4643 0.8924018508 0.7623 0.5061 82.8604 0.000e+00
central VELA28 290 2.704 2.44827586207 0 F160W 301.0814 300.3049 20.6453 8.2283 0.9837426348 0.9525 0.9217 54.4969 0.000e+00
other VELA28 290 2.704 2.44827586207 0 F160W 394.3105 245.4846 20.7205 13.0001 1.5542399556 1.6249 0.6091 30.5051 0.000e+00
other VELA28 290 2.704 2.44827586207 0 F160W 225.8376 480.3625 23.2536 5.9727 0.7140721212 1.2143 0.8326 20.2638 0.000e+00
central VELA28 290 2.704 2.44827586207 1 F160W 299.0931 300.7038 20.8186 9.2135 1.101529206 0.8499 0.5690 82.7179 0.000e+00
other VELA28 290 2.704 2.44827586207 1 F160W 488.9693 559.2221 23.3174 6.2346 0.7453838376 0.9779 0.8351 6.8457 0.000e+00
other VELA28 290 2.704 2.44827586207 5 F160W 369.3885 251.3627 21.1835 14.0531 1.6801324236 0.3857 0.3278 5.5521 0.000e+00
other VELA28 290 2.704 2.44827586207 5 F160W 291.7439 525.3407 23.2844 6.5914 0.7880414184 1.1504 0.7518 -2.0747 0.000e+00
central VELA28 290 2.704 2.44827586207 5 F160W 301.3559 299.9548 20.5404 11.2678 1.3471330968 1.4157 0.5384 73.5629 0.000e+00
central VELA28 290 2.704 2.44827586207 6 F160W 301.0639 300.7655 20.6416 10.3432 1.2365916192 1.4048 0.4659 88.5356 0.000e+00
other VELA28 290 2.704 2.44827586207 6 F160W 407.6310 258.5605 20.1962 25.4138 3.0383722728 3.2884 0.6630 19.9159 0.000e+00
other VELA28 290 2.704 2.44827586207 6 F160W 131.7083 574.2813 23.2573 6.3922 0.7642258632 1.2339 0.9080 14.1150 0.000e+00
other VELA28 290 2.704 2.44827586207 7 F160W 364.4759 468.0455 23.4066 5.7371 0.6859047276 1.0093 0.7609 2.6840 0.000e+00
other VELA28 290 2.704 2.44827586207 7 F160W 273.3413 172.9811 20.2699 335.6066 40.1237826696 1.1118 0.1538 -20.8219 0.000e+00
central VELA28 290 2.704 2.44827586207 7 F160W 301.2434 300.3545 20.5143 11.2818 1.3488068808 1.2244 0.6333 71.1778 0.000e+00
other VELA28 290 2.704 2.44827586207 7 F160W 333.1563 282.1819 21.2542 13.5903 1.6248019068 0.4731 0.4015 0.5122 0.000e+00
other VELA28 290 2.704 2.44827586207 8 F160W 353.0736 475.5864 23.2687 6.5226 0.7798159656 1.1479 0.7603 2.4524 0.000e+00
other VELA28 290 2.704 2.44827586207 8 F160W 332.4822 287.7332 20.6207 44.3943 5.3076049308 0.9233 0.3838 25.1905 0.000e+00
central VELA28 290 2.704 2.44827586207 8 F160W 301.1938 300.2032 20.7915 8.8986 1.0638810216 0.9896 0.6132 70.6714 0.000e+00
other VELA28 290 2.704 2.44827586207 8 F160W 339.7388 277.6678 21.8939 10.7720 1.287857232 0.2267 0.3447 -1.5805 0.000e+00
