sim	aexp	hid	difference_halo_gas	difference_stars_gas	difference_stars_halo	export_maxncellwside	export_ncells	export_ncellwside	export_ncellwside_actual	export_nstars	export_super_level	fake_halo	flag_bad_halo	halo_a[x]	halo_a[y]	halo_a[z]	halo_b_to_a	halo_c_to_a	halo_descid	halo_dr	halo_good	halo_id	halo_jx	halo_jy	halo_jz	halo_m200b	halo_m200c	halo_m2500c	halo_m500c	halo_mvir	halo_mvir_all	halo_norm_dr	halo_np	halo_rs	halo_rs_klypin	halo_rvir	halo_scale	halo_spin	halo_spin_bullock	halo_t/|u|	halo_vmax	halo_voff	halo_vrms	halo_vx	halo_vy	halo_vz	halo_x	halo_xoff	halo_y	halo_z	mass_gas	mass_metals	mass_sfr	log(mass_ssfr)[Gyr^-1]	mass_stars	mass_stars_middle	mass_stars_young	metal_modification	prefix	scale	sim_resolution_pc	sim_resolution_pchcm	sim_width_mpchcm
VELA12MRP	0.355472	6234	91.055	59.446	117.1	2	20080000	4	2	1378000	-2	0	1	14.533	-6.869	56.318	0.852	0.781	5335	0.004	1	6234	4123	172900	-21860	4.018E+11	3.938E+11	2.132E+11	3.232E+11	4.062E+11	4.062E+11	5.286	2243000	11.836	12.21	190	0.355	0	0	0	215.9	0	0	0	0	0	20.203	31.479	19.904	21.822	1.139E+15	154700000	1.624	-1.127671205	21790000000	152300000	16240000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.355472_0006234_	0.355	38.743	76.294	40
VELA12MRP	0.361412	6419	153.3	14.369	149.3	2	18820000	4	2	1389000	-2	0	1	16.576	-2.154	57.57	0.851	0.766	8062	0.004	1	6419	24890	155100	-37330	3.989E+11	3.882E+11	2.161E+11	3.248E+11	4.049E+11	4.049E+11	4.819	2229000	11.124	11.75	189.6	0.361	0	0	0	216.1	0	0	0	0	0	20.203	31.217	19.906	21.788	1.139E+15	157000000	1.923	-1.056861266	21920000000	136800000	19230000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.361412_0006419_	0.361	39.391	76.294	40
VELA12MRP	0.367789	7318	119.6	41.254	125.9	2	16990000	4	2	1399000	-2	0	1	16.603	-8.174	55.993	0.859	0.758	7516	0.004	1	7318	29960	143000	-46370	4.047E+11	3.937E+11	2.17E+11	3.116E+11	4.094E+11	4.094E+11	4.322	2150000	11.292	11.682	190.1	0.368	0	0	0.001	215.6	0	0	0	0	0	20.202	32.023	19.909	21.751	1.139E+15	159200000	1.567	-1.147353684	22000000000	148300000	15670000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.367789_0007318_	0.368	40.086	76.294	40
VELA12MRP	0.374573	7710	75.358	36.082	94.344	2	25660000	4	2	1456000	-2	0	1	18.056	-4.992	57.43	0.844	0.736	6849	0.003	1	7710	24140	127700	-43880	4.116E+11	3.97E+11	2.197E+11	3.091E+11	4.165E+11	4.165E+11	4.121	2296000	11.001	11.706	191	0.375	0	0	0.001	215.1	0	0	0	0	0	20.2	35.176	19.911	21.712	1.139E+15	162100000	3.135	-0.847958171	22090000000	152000000	31350000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.374573_0007710_	0.375	40.825	76.294	40
VELA12MRP	0.38184	6141	159.4	33.201	191.5	2	24100000	4	2	1455000	-2	0	1	19.97	-4.382	58.061	0.832	0.731	7578	0.006	1	6141	-6195	75780	-28880	3.999E+11	3.868E+11	2.214E+11	3.143E+11	4.038E+11	4.038E+11	6.988	2192000	10.356	10.886	188.8	0.382	0	0	0	214.5	0	0	0	0	0	20.197	30.887	19.914	21.671	1.139E+15	165700000	4.027	-0.742153153	22240000000	274100000	40270000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.381840_0006141_	0.382	41.617	76.294	40
VELA12MRP	0.389323	10430	152.2	42.33	111.2	2	21680000	4	2	1483000	-2	0	1	17.577	-5.695	57.647	0.836	0.728	10480	0.004	1	10430	-22200	59490	-23000	3.981E+11	3.881E+11	2.215E+11	3.234E+11	4.003E+11	4.003E+11	5.308	2368000	9.996	10.47	188	0.389	0	0	0	214	0	0	0	0	0	20.193	30.55	19.917	21.63	1.139E+15	168700000	2.639	-0.929196218	22420000000	215400000	26390000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.389323_0010430_	0.389	42.433	76.294	40
VELA12MRP	0.396699	10659	140.8	22.427	120.2	2	19860000	4	2	1510000	-2	0	1	16.06	-7.967	61.936	0.839	0.722	10600	0.004	1	10660	-38670	49610	-18200	3.982E+11	3.897E+11	2.228E+11	3.282E+11	4.003E+11	4.003E+11	4.688	1912000	9.626	10.037	187.7	0.397	0	0	0	214.5	0	0	0	0	0	20.189	29.571	19.92	21.59	1.139E+15	172000000	1.863	-1.081583452	22480000000	198500000	18630000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.396699_0010659_	0.397	43.237	76.294	40
VELA12MRP	0.404307	10368	332.2	72.656	279.7	2	18360000	4	2	1531000	-2	0	1	13.111	-8.421	54.488	0.84	0.728	10470	0.004	1	10370	-52520	42430	-16190	3.992E+11	3.913E+11	2.327E+11	3.26E+11	4.007E+11	4.007E+11	4.54	2947000	8.979	9.347	187.5	0.404	0	0	0	217	0	0	0	0	0	20.183	28.517	19.923	21.548	1.139E+15	175000000	2.176	-1.015872668	22570000000	159600000	21760000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.404307_0010368_	0.404	44.066	76.294	40
VELA12MRP	0.412836	10413	65.607	21.826	77.997	2	16970000	4	2	1565000	-2	0	1	10.977	-11.048	61.072	0.83	0.71	10440	0.003	1	10410	-58350	57520	-14220	3.999E+11	3.89E+11	2.384E+11	3.276E+11	4.013E+11	4.013E+11	3.785	2106000	8.108	8.392	187.3	0.413	0	0	0	221.7	0	0	0	0	0	20.177	28.778	19.925	21.504	1.139E+15	179000000	3.38	-0.82844633	22770000000	231000000	33800000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.412836_0010413_	0.413	44.996	76.294	40
VELA12MRP	0.420811	10350	241	34.568	254	2	15520000	4	2	1588000	-2	0	1	9.618	-11.281	66.82	0.81	0.683	9579	0.005	1	10350	-26300	51140	-18000	3.934E+11	3.836E+11	2.402E+11	3.28E+11	3.946E+11	3.946E+11	6.18	1556000	8.01	8.556	185.9	0.421	0	0	0	216.8	0	0	0	0	0	20.171	27.417	19.927	21.464	1.139E+15	184800000	2.299	-1	22990000000	245400000	22990000	None	/u/cmoody3/data2/export_sunrise_fits/VELA12MRP/VELA12MRP_0.420811_0010350_	0.421	45.865	76.294	40
