galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
disk VELA02 240 2.044 3.16666666667 6 F160W 17.8351 21.1520 26.2932 8.350e-03 0.00387117741736 1.0000 0.4499 -8.0503 -9.442e-05
bulge VELA02 240 2.044 3.16666666667 6 F160W 17.0524 17.5281 26.2966 7.916e-03 0.00366996891447 3.3828 0.5523 -64.0000 -9.442e-05
disk VELA02 240 2.044 3.16666666667 7 F160W 14.2185 14.0654 26.3363 4.333e-03 0.00200883973047 1.0000 0.0507 -51.2596 -7.591e-06
bulge VELA02 240 2.044 3.16666666667 7 F160W 17.1128 19.5350 26.4164 6.403e-03 0.00296852083872 3.1306 0.3074 19.9820 -7.591e-06
disk VELA02 240 2.044 3.16666666667 8 F160W 20.2502 20.2053 26.3297 0.0160 0.00741782499134 1.0000 0.8841 25.3126 -1.115e-05
bulge VELA02 240 2.044 3.16666666667 8 F160W 19.4146 19.0755 26.3298 0.0163 0.00755690920993 2.5225 0.9840 23.9994 -1.115e-05
disk VELA02 250 2.171 3.0 0 F160W 18.9198 19.0327 25.9921 3.4525 1.62721965745 1.0000 0.5200 -13.8041 1.815e-04
bulge VELA02 250 2.171 3.0 0 F160W 16.6952 21.4139 28.7574 8.9958 4.23986751469 0.0521 0.0682 84.2975 1.815e-04
disk VELA02 250 2.171 3.0 1 F160W 15.1551 15.2448 26.5160 3.927e-03 0.0018508592599 1.0000 0.0500 12.3557 2.027e-04
bulge VELA02 250 2.171 3.0 1 F160W 17.6536 17.6364 26.5258 6.632e-03 0.00312576995458 3.9608 0.2534 88.0000 2.027e-04
disk VELA02 250 2.171 3.0 5 F160W 20.4003 24.6842 24.3439 84.6610 39.9021125037 1.0000 0.1794 -54.2679 -6.047e-04
bulge VELA02 250 2.171 3.0 5 F160W 18.9372 18.7561 25.8870 3.5254 1.6615786185 0.6625 0.6760 44.7434 -6.047e-04
disk VELA02 250 2.171 3.0 6 F160W 17.7734 17.9449 24.2062 84.9620 40.0439787215 1.0000 0.2469 -51.3418 -8.336e-04
bulge VELA02 250 2.171 3.0 6 F160W 19.6900 19.1655 25.2361 36.7697 17.3301603587 19.6527 0.5104 -66.8486 -8.336e-04
disk VELA02 250 2.171 3.0 7 F160W 19.2647 20.8363 26.5628 5.6872 2.6804702783 1.0000 0.0431 53.3962 4.590e-05
bulge VELA02 250 2.171 3.0 7 F160W 17.6316 18.6156 26.1102 6.5310 3.07816700443 6.1383 0.0616 -62.3533 4.590e-05
disk VELA02 250 2.171 3.0 8 F160W 18.6307 19.9000 26.0922 3.3854 1.59559433116 1.0000 0.6317 23.7038 2.190e-04
bulge VELA02 250 2.171 3.0 8 F160W 17.5912 16.8067 28.0474 0.8725 0.411223505032 19.7739 0.6441 -14.7537 2.190e-04
disk VELA02 260 2.301 2.84615384615 0 F160W 17.0601 17.7458 26.6256 6.2923 3.00995288528 1.0000 0.0113 29.3494 -1.169e-04
bulge VELA02 260 2.301 2.84615384615 0 F160W 20.2369 19.6048 25.8465 3.7088 1.77412285824 0.0419 0.6077 74.9092 -1.169e-04
disk VELA02 260 2.301 2.84615384615 1 F160W 20.1609 18.9268 25.9621 2.6039 1.24558846812 1.0000 0.4820 72.6289 -3.950e-04
bulge VELA02 260 2.301 2.84615384615 1 F160W 22.5761 24.0242 25.4331 112.4271 53.7800603958 7.0046 0.0981 -53.0044 -3.950e-04
disk VELA02 260 2.301 2.84615384615 5 F160W 19.6314 19.8872 25.7338 2.5484 1.2190397681 1.0000 0.7380 10.8132 -2.226e-04
bulge VELA02 260 2.301 2.84615384615 5 F160W 12.8921 20.8964 27.1459 9.6084 4.59622575257 0.6031 0.0170 58.9363 -2.226e-04
disk VELA02 260 2.301 2.84615384615 8 F160W 20.9143 19.8432 26.1198 9.749e-03 0.00466348245929 1.0000 0.6389 -89.7657 1.345e-04
bulge VELA02 260 2.301 2.84615384615 8 F160W 18.8710 19.7378 26.1196 9.719e-03 0.00464913181063 2.6196 0.9440 -25.8386 1.345e-04
disk VELA02 270 2.434 2.7037037037 0 F160W 19.6372 19.8115 25.7323 3.6492 1.76894000405 1.0000 0.6429 69.1444 -6.710e-05
bulge VELA02 270 2.434 2.7037037037 0 F160W 21.4715 18.1387 27.4979 1.5577 0.755090936181 0.1621 0.9309 -13.0335 -6.710e-05
disk VELA02 270 2.434 2.7037037037 1 F160W 19.5066 19.9241 26.2870 0.0179 0.00867697743958 1.0000 0.0257 -35.4071 1.166e-05
bulge VELA02 270 2.434 2.7037037037 1 F160W 25.6269 80.2267 26.1958 0.0347 0.0168207328019 6.2975 0.3847 70.1311 1.166e-05
disk VELA02 270 2.434 2.7037037037 5 F160W 19.0899 20.1009 26.3724 3.4881 1.6908472071 1.0000 0.3329 -74.5495 1.057e-04
bulge VELA02 270 2.434 2.7037037037 5 F160W 19.1877 18.9373 26.0362 1.000e-02 0.00484747342994 3.8663 0.5940 -6.9936 1.057e-04
disk VELA02 270 2.434 2.7037037037 6 F160W 24.7147 14.8763 26.1600 9.977e-03 0.00483632424105 1.0000 0.0490 81.8158 -7.018e-05
bulge VELA02 270 2.434 2.7037037037 6 F160W 20.0545 19.9548 26.1033 0.0166 0.00804680589369 19.8873 0.6120 -60.9601 -7.018e-05
disk VELA02 270 2.434 2.7037037037 7 F160W 19.1468 19.9518 26.2188 3.4149 1.65536370159 1.0000 0.5499 -56.3836 -4.540e-05
bulge VELA02 270 2.434 2.7037037037 7 F160W 19.3830 20.0817 26.5853 3.6431 1.76598304526 0.1112 0.6869 73.3896 -4.540e-05
disk VELA02 270 2.434 2.7037037037 8 F160W 18.9948 18.7777 25.9568 3.0109 1.45952577502 1.0000 0.0514 76.7599 -1.048e-04
bulge VELA02 270 2.434 2.7037037037 8 F160W 20.9092 23.6148 26.5508 5.6758 2.75132896936 19.9899 0.2524 87.0429 -1.048e-04
disk VELA02 280 2.568 2.57142857143 0 F160W 16.3389 19.8642 25.3787 31.1012 15.2554600935 1.0000 0.4438 -13.5305 -2.216e-04
bulge VELA02 280 2.568 2.57142857143 0 F160W 21.5956 20.3271 25.5989 5.3248 2.61186944253 0.0217 0.7185 44.3478 -2.216e-04
