galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
bulge VELA02 220 1.796 3.54545454545 0 F160W 302.6531 0.0469 297.6101 0.0397 20.9158 0.0270 21.7407 0.1247 21.7407 0.1247 1.8253 0.0188 0.8549 0.0046 -84.1495 1.2729 0.339513151941 0.000e+00
disk VELA02 220 1.796 3.54545454545 1 F160W 300.4135 0.0573 300.0814 0.0263 21.1250 0.0062 21.6202 0.0637 21.6202 0.0637 1.0000 0.0 0.3817 0.0019 75.1098 0.1515 0.28785763684 0.000e+00
bulge VELA02 220 1.796 3.54545454545 1 F160W 294.2393 0.1345 302.0469 0.0627 20.8901 0.0049 42.9578 0.2141 42.9578 0.2141 0.8114 0.0056 0.7058 0.0019 -69.1120 0.3526 0.364012941092 0.000e+00
disk VELA02 220 1.796 3.54545454545 5 F160W 295.3531 0.1842 303.7047 0.1504 20.7880 0.0251 28.5179 0.1060 28.5179 0.106 1.0000 0.0 0.8503 0.0038 23.9451 1.1814 0.388429521073 0.000e+00
bulge VELA02 220 1.796 3.54545454545 5 F160W 304.2079 0.0562 297.8977 0.0459 20.8985 0.0280 22.6709 0.1197 22.6709 0.1197 1.6549 0.0158 0.8077 0.0041 -53.4659 0.9168 0.369075587012 0.000e+00
disk VELA02 220 1.796 3.54545454545 6 F160W 304.4006 0.0764 296.9093 0.0346 21.3890 0.0093 21.0276 0.1008 21.0276 0.1008 1.0000 0.0 0.3874 0.0022 82.2666 0.2105 0.292516388877 0.000e+00
bulge VELA02 220 1.796 3.54545454545 6 F160W 295.9599 0.0794 302.7515 0.0582 20.7066 0.0049 34.2921 0.1563 34.2921 0.1563 1.0604 0.0045 0.7376 0.0019 -64.3632 0.4129 0.377247901173 0.000e+00
disk VELA02 220 1.796 3.54545454545 7 F160W 297.8372 0.0674 299.6650 0.0687 20.4441 0.0026 35.1920 0.1017 35.192 0.1017 1.0000 0.0 0.8992 0.0021 66.1819 0.8561 0.367147337802 0.000e+00
bulge VELA02 220 1.796 3.54545454545 7 F160W 302.4737 0.0576 301.6889 0.0506 21.3373 0.0069 15.5993 0.0703 15.5993 0.0703 0.4141 0.0050 0.6034 0.0028 -47.5529 0.3797 0.332317928385 0.000e+00
disk VELA02 220 1.796 3.54545454545 8 F160W 296.1713 0.1669 295.2750 0.0652 21.9472 0.0158 20.0514 0.1648 20.0514 0.1648 1.0000 0.0 0.4255 0.0044 -75.4869 0.4666 0.31716861863 0.000e+00
bulge VELA02 220 1.796 3.54545454545 8 F160W 302.2604 0.0408 302.6092 0.0364 20.2845 0.0034 27.2390 0.0801 27.239 0.0801 1.3428 0.0037 0.9028 0.0021 50.3889 1.0888 0.350765311831 0.000e+00
disk VELA02 230 1.919 3.34782608696 0 F160W 300.6147 0.0549 304.3814 0.0567 19.8361 0.0037 29.4267 0.0560 29.4267 0.056 1.0000 0.0 0.9191 0.0024 54.6125 1.2569 0.389361845442 0.000e+00
bulge VELA02 230 1.919 3.34782608696 0 F160W 301.7191 0.0741 298.3760 0.0477 22.4869 0.0421 18.5400 0.4105 18.54 0.4105 2.9458 0.0822 0.6546 0.0122 -83.2702 1.3717 0.297696038707 0.000e+00
disk VELA02 230 1.919 3.34782608696 1 F160W 301.2349 0.1108 302.5292 0.0335 21.6195 0.0110 22.3758 0.1405 22.3758 0.1405 1.0000 0.0 0.2657 0.0022 74.5166 0.1434 0.327126819327 0.000e+00
bulge VELA02 230 1.919 3.34782608696 1 F160W 293.9507 0.0929 299.5824 0.0673 20.5443 0.0035 37.4323 0.1140 37.4323 0.114 0.8061 0.0032 0.6561 0.0020 -78.7673 0.2995 0.466524890731 0.000e+00
disk VELA02 230 1.919 3.34782608696 5 F160W 300.8015 0.0472 304.5075 0.0708 19.8549 0.0049 28.8484 0.0571 28.8484 0.0571 1.0000 0.0 0.9310 0.0024 49.8938 1.4435 0.391434206025 0.000e+00
bulge VELA02 230 1.919 3.34782608696 5 F160W 300.4537 0.0439 296.8536 0.0481 21.9667 0.0343 17.5564 0.3314 17.5564 0.3314 2.6312 0.0468 0.7121 0.0100 -81.9366 1.5226 0.298876376694 0.000e+00
disk VELA02 230 1.919 3.34782608696 6 F160W 301.0403 0.0540 299.7351 0.0352 20.0686 0.0027 31.4054 0.0529 31.4054 0.0529 1.0000 0.0 0.5361 0.0014 89.5060 0.1282 0.408719341202 0.000e+00
bulge VELA02 230 1.919 3.34782608696 6 F160W 298.5129 0.0057 297.6186 0.0575 24.0966 0.1646 222.1096 213.7423 222.1096 213.7423 19.6471 6.1837 0.6733 0.0134 -24.5220 2.1187 0.600959299173 0.000e+00
disk VELA02 230 1.919 3.34782608696 7 F160W 302.1773 0.0480 297.2827 0.0504 19.8998 0.0052 30.1975 0.0781 30.1975 0.0781 1.0000 0.0 0.8823 0.0025 -84.1284 0.7317 0.399526022899 0.000e+00
bulge VELA02 230 1.919 3.34782608696 7 F160W 297.9203 0.0865 303.5754 0.1033 22.3645 0.0501 20.0390 0.5180 20.039 0.518 2.4097 0.0674 0.6369 0.0127 0.7942 1.4382 0.331431694121 0.000e+00
disk VELA02 230 1.919 3.34782608696 8 F160W 302.4695 0.0623 298.2643 0.0588 19.7887 0.0029 28.8922 0.0655 28.8922 0.0655 1.0000 0.0 0.9241 0.0024 -78.6205 1.2138 0.392960386182 0.000e+00
bulge VELA02 230 1.919 3.34782608696 8 F160W 297.7831 0.1319 297.5038 0.0389 24.6455 0.0673 67.8284 68.0538 67.8284 68.0538 19.5946 9.7831 0.4694 0.0261 -38.7387 2.1204 0.491239149477 0.000e+00
disk VELA02 240 2.044 3.16666666667 0 F160W 301.8930 0.0574 301.8525 0.0530 19.3362 0.0026 28.9210 0.0649 28.921 0.0649 1.0000 0.0 0.9491 0.0020 77.6653 1.5795 0.385196089085 0.000e+00
bulge VELA02 240 2.044 3.16666666667 0 F160W 347.2208 4.2900 398.3499 5.7267 21.8611 2.1387 8662.3809 23526.8320 8662.3809 23526.832 4.8469 3.5644 0.4714 0.0221 44.6030 1.8422 0.60207154674 0.000e+00
disk VELA02 240 2.044 3.16666666667 5 F160W 302.7557 0.0405 300.7211 0.0390 19.3211 0.0025 28.8277 0.0596 28.8277 0.0596 1.0000 0.0 0.9353 0.0018 56.5672 1.1467 0.370448060313 0.000e+00
bulge VELA02 240 2.044 3.16666666667 5 F160W 851.0826 604.1078 443.2596 146.5082 21.7885 5.7992 3113.8550 22143.1699 3113.855 22143.1699 4.7972 30.0956 0.8269 0.3515 49.5235 117.7816 0.59465307453 0.000e+00
disk VELA02 240 2.044 3.16666666667 6 F160W 296.7348 0.0591 301.4856 0.0329 19.7919 0.0025 29.4538 0.0635 29.4538 0.0635 1.0000 0.0 0.5546 0.0013 82.6310 0.1000 0.357536331256 0.000e+00
bulge VELA02 240 2.044 3.16666666667 6 F160W 327.4016 0.1778 291.6229 0.1212 21.2237 0.0085 33.9654 0.2179 33.9654 0.2179 1.3141 0.0066 0.8121 0.0034 -62.9529 1.0502 0.451488274063 0.000e+00
disk VELA02 240 2.044 3.16666666667 7 F160W 300.1632 0.0572 298.3012 0.0518 19.4279 0.0039 29.6512 0.0732 29.6512 0.0732 1.0000 0.0 0.9418 0.0024 -60.6659 1.5407 0.388587382917 0.000e+00
bulge VELA02 240 2.044 3.16666666667 7 F160W 298.5899 0.0912 298.5644 0.0828 22.7912 0.0877 16.7159 0.6493 16.7159 0.6493 3.3469 0.1660 0.9948 0.0253 49.8660 199.8123 0.289341609724 0.000e+00
disk VELA02 240 2.044 3.16666666667 8 F160W 300.5374 0.0519 298.2007 0.0476 19.3860 0.0027 29.4206 0.0672 29.4206 0.0672 1.0000 0.0 0.9555 0.0023 -53.3541 1.8813 0.386882979107 0.000e+00
bulge VELA02 240 2.044 3.16666666667 8 F160W 298.5567 0.0308 297.4389 0.0227 23.8186 0.2328 162.8155 241.2483 162.8155 241.2483 19.7752 10.3247 0.7941 0.0301 -63.4035 6.2457 0.598122779977 0.000e+00
disk VELA02 250 2.171 3.0 0 F160W 297.5329 0.0510 301.8344 0.0579 19.6409 0.0031 34.6542 0.0626 34.6542 0.0626 1.0000 0.0 0.9622 0.0024 -15.9200 2.4715 0.256304600945 0.000e+00
other VELA02 250 2.171 3.0 0 F160W 344.7010 0.0650 234.3646 0.1106 21.6598 0.0070 16.2587 0.0835 16.2587 0.0835 0.5228 0.0083 0.5830 0.0040 9.8813 0.5107 0.694520575783 0.000e+00
bulge VELA02 250 2.171 3.0 0 F160W 300.7160 0.0555 301.1354 0.0644 22.3017 0.0217 6.5329 0.1649 6.5329 0.1649 0.8385 0.0306 0.9040 0.0128 -46.9507 7.3815 0.140560434639 0.000e+00
other VELA02 250 2.171 3.0 1 F160W 349.4926 0.0610 304.1189 0.0391 20.4963 0.0037 31.3995 0.0514 31.3995 0.0514 0.2299 0.0023 0.5208 0.0011 -57.5379 0.1322 0.595707922771 0.000e+00
disk VELA02 250 2.171 3.0 1 F160W 292.2146 0.1026 302.0569 0.0507 20.1707 0.0035 34.0653 0.0520 34.0653 0.052 1.0000 0.0 0.6184 0.0017 -82.3635 0.2007 0.258073933638 0.000e+00
bulge VELA02 250 2.171 3.0 1 F160W 302.2862 0.0823 300.3923 0.0315 21.6973 0.0082 14.8417 0.0986 14.8417 0.0986 0.5535 0.0118 0.2963 0.0024 69.7946 0.2218 0.178070090498 0.000e+00
disk VELA02 250 2.171 3.0 5 F160W 299.3854 0.0460 301.7093 0.0518 19.5780 0.0030 34.3458 0.0624 34.3458 0.0624 1.0000 0.0 0.8841 0.0018 -73.0202 0.7293 0.245572848825 0.000e+00
bulge VELA02 250 2.171 3.0 5 F160W 300.9992 0.0724 300.9384 0.0969 22.5783 0.0219 6.7815 0.1851 6.7815 0.1851 0.7445 0.0346 0.6932 0.0114 -36.5914 2.3866 0.130823620651 0.000e+00
bulge VELA02 250 2.171 3.0 6 F160W 359.2444 0.0640 272.6570 0.0416 21.9387 0.0072 13.1698 0.0967 13.1698 0.0967 1.0986 0.0157 0.6270 0.0044 84.2960 0.5907 0.525263863074 0.000e+00
disk VELA02 250 2.171 3.0 6 F160W 297.2314 0.0484 300.2774 0.0320 19.7049 0.0023 31.4865 0.0393 31.4865 0.0393 1.0000 0.0 0.5860 0.0012 88.9080 0.1434 0.308022268754 0.000e+00
other VELA02 250 2.171 3.0 6 F160W 373.9807 0.0412 314.7443 0.0302 23.3048 0.0120 18.3958 0.2435 18.3958 0.2435 4.2680 0.0590 0.7830 0.0097 38.5522 1.8643 0.858126276491 0.000e+00
disk VELA02 250 2.171 3.0 7 F160W 301.2746 0.0628 301.5255 0.0551 19.6674 0.0033 35.9653 0.0799 35.9653 0.0799 1.0000 0.0 0.8721 0.0020 71.7333 0.6730 0.265663607564 0.000e+00
bulge VELA02 250 2.171 3.0 7 F160W 303.0172 0.1366 300.5513 0.0593 22.1718 0.0148 9.3847 0.1665 9.3847 0.1665 0.5795 0.0233 0.5707 0.0084 -68.7598 1.1506 0.173635417251 0.000e+00
disk VELA02 250 2.171 3.0 8 F160W 301.4243 0.0624 301.7327 0.0597 19.6545 0.0033 36.2936 0.0908 36.2936 0.0908 1.0000 0.0 0.8710 0.0020 74.0277 0.6477 0.259193357929 0.000e+00
bulge VELA02 250 2.171 3.0 8 F160W 302.2174 0.1151 300.6538 0.0594 22.1196 0.0148 8.8911 0.1614 8.8911 0.1614 0.6354 0.0244 0.6198 0.0086 -63.2114 1.3429 0.170463344662 0.000e+00
disk VELA02 260 2.301 2.84615384615 0 F160W 296.6816 0.0559 299.4067 0.0440 19.1680 0.0027 35.4875 0.0572 35.4875 0.0572 1.0000 0.0 0.9079 0.0017 64.2193 0.7825 0.338687543405 0.000e+00
bulge VELA02 260 2.301 2.84615384615 0 F160W 302.6427 0.0423 301.2310 0.0452 22.0536 0.0265 6.1388 0.1911 6.1388 0.1911 1.1511 0.0358 0.7473 0.0127 28.2583 2.6027 0.162664557319 0.000e+00
disk VELA02 260 2.301 2.84615384615 1 F160W 305.2104 0.0606 300.6984 0.0198 19.7654 0.0066 27.4802 0.0806 27.4802 0.0806 1.0000 0.0 0.2833 0.0010 88.9937 0.0597 0.295370908386 0.000e+00
bulge VELA02 260 2.301 2.84615384615 1 F160W 300.4687 0.1330 301.0089 0.0669 20.1315 0.0091 53.7213 0.2833 53.7213 0.2833 0.4973 0.0053 0.4814 0.0013 -79.6432 0.1286 0.309885806061 0.000e+00
disk VELA02 260 2.301 2.84615384615 5 F160W 296.2256 0.0636 301.1748 0.0397 19.1999 0.0026 33.6240 0.0505 33.624 0.0505 1.0000 0.0 0.8951 0.0015 61.9725 0.6545 0.351127387526 0.000e+00
bulge VELA02 260 2.301 2.84615384615 5 F160W 304.0179 0.0621 299.9301 0.0433 21.9934 0.0186 6.5184 0.1479 6.5184 0.1479 0.8835 0.0284 0.7165 0.0091 -61.6873 1.9879 0.211474713256 0.000e+00
disk VELA02 260 2.301 2.84615384615 6 F160W 298.7388 0.0607 299.5575 0.0257 19.2608 0.0023 36.6030 0.0495 36.603 0.0495 1.0000 0.0 0.4058 0.0009 -89.9215 0.0652 0.302034345249 0.000e+00
bulge VELA02 260 2.301 2.84615384615 6 F160W 302.4823 0.0042 301.3799 0.0092 22.2280 0.0234 16.7960 0.2708 16.796 0.2708 7.0850 0.1990 0.8528 0.0080 -52.6057 2.5633 0.279449287818 0.000e+00
disk VELA02 260 2.301 2.84615384615 7 F160W 299.4267 0.0614 303.1506 0.0556 19.1396 0.0025 32.4606 0.0508 32.4606 0.0508 1.0000 0.0 0.9361 0.0018 -75.0666 1.1108 0.395631036644 0.000e+00
bulge VELA02 260 2.301 2.84615384615 7 F160W 300.3317 0.0886 300.2473 0.0682 24.7935 0.1400 27.5619 35.3116 27.5619 35.3116 19.6365 25.7681 0.9535 0.1118 76.4090 98.9421 0.383721949555 0.000e+00
disk VELA02 260 2.301 2.84615384615 8 F160W 298.8521 0.0590 303.1678 0.0469 19.1348 0.0025 32.9943 0.0429 32.9943 0.0429 1.0000 0.0 0.9129 0.0017 -67.6460 0.7698 0.398295388499 0.000e+00
bulge VELA02 260 2.301 2.84615384615 8 F160W 299.1509 0.3147 300.5887 0.0933 25.1132 0.1793 25.0248 29.3393 25.0248 29.3393 19.2856 14.9175 0.8369 0.1875 37.4947 38.1602 0.36878181804 0.000e+00
disk VELA02 270 2.434 2.7037037037 0 F160W 297.8427 0.0762 298.5966 0.0706 19.2675 0.0028 36.8492 0.0696 36.8492 0.0696 1.0000 0.0 0.9328 0.0016 52.3257 1.2045 0.245583051031 0.000e+00
bulge VELA02 270 2.434 2.7037037037 0 F160W 300.9872 0.0498 298.8416 0.0478 21.7882 0.0151 6.3960 0.1205 6.396 0.1205 0.8418 0.0250 0.8838 0.0103 -22.9194 4.7923 0.124031874661 0.000e+00
disk VELA02 270 2.434 2.7037037037 1 F160W 308.9422 0.0694 299.7082 0.0229 19.4551 0.0023 35.0675 0.0485 35.0675 0.0485 1.0000 0.0 0.3633 0.0008 89.9108 0.0504 0.265653214056 0.000e+00
bulge VELA02 270 2.434 2.7037037037 1 F160W 263.8578 0.1283 303.3596 0.0800 20.9384 0.0066 28.8801 0.1647 28.8801 0.1647 1.2701 0.0067 0.6478 0.0035 -70.0015 0.5262 0.45302814301 0.000e+00
disk VELA02 270 2.434 2.7037037037 5 F160W 296.3710 0.0629 300.4249 0.0570 19.2818 0.0026 36.7709 0.0570 36.7709 0.057 1.0000 0.0 0.8591 0.0017 85.3772 0.4755 0.262090288515 0.000e+00
bulge VELA02 270 2.434 2.7037037037 5 F160W 300.0822 0.0820 298.4910 0.0409 21.9187 0.0168 8.7604 0.1856 8.7604 0.1856 0.9576 0.0287 0.4585 0.0062 -76.5052 0.7268 0.135982240058 0.000e+00
other VELA02 270 2.434 2.7037037037 6 F160W 364.2217 0.0572 295.9850 0.0482 21.2602 0.0056 16.9992 0.0602 16.9992 0.0602 0.3585 0.0046 0.5689 0.0026 -48.6736 0.3138 0.568585743347 0.000e+00
disk VELA02 270 2.434 2.7037037037 6 F160W 298.7197 0.0509 299.9866 0.0243 19.4164 0.0021 37.3116 0.0561 37.3116 0.0561 1.0000 0.0 0.4041 0.0008 88.4801 0.0403 0.284731245024 0.000e+00
bulge VELA02 270 2.434 2.7037037037 6 F160W 317.4744 0.0367 304.5174 0.0099 22.9173 0.0727 301.3206 100.2778 301.3206 100.2778 12.5531 1.3571 0.6461 0.0072 16.1758 0.9787 0.474476671308 0.000e+00
disk VELA02 270 2.434 2.7037037037 7 F160W 298.2020 0.0556 302.2910 0.0646 19.2894 0.0027 35.1523 0.0539 35.1523 0.0539 1.0000 0.0 0.9051 0.0018 -89.5725 0.7787 0.258126454575 0.000e+00
bulge VELA02 270 2.434 2.7037037037 7 F160W 299.1194 0.0825 299.0875 0.0410 21.7870 0.0132 8.6562 0.1417 8.6562 0.1417 0.8060 0.0231 0.4553 0.0055 -88.6478 0.6155 0.11344484215 0.000e+00
disk VELA02 270 2.434 2.7037037037 8 F160W 297.6006 0.0594 302.2168 0.0622 19.2810 0.0026 35.9263 0.0556 35.9263 0.0556 1.0000 0.0 0.8883 0.0017 89.5608 0.5868 0.256664588286 0.000e+00
bulge VELA02 270 2.434 2.7037037037 8 F160W 299.3910 0.0746 298.9778 0.0412 21.7683 0.0130 8.3847 0.1379 8.3847 0.1379 0.8196 0.0231 0.4835 0.0057 -86.1997 0.6561 0.138908415927 0.000e+00
disk VELA02 280 2.568 2.57142857143 0 F160W 300.8357 0.0817 302.0720 0.0741 19.2315 0.0029 36.5397 0.0617 36.5397 0.0617 1.0000 0.0 0.9221 0.0019 80.4486 0.8712 0.243017442744 0.000e+00
bulge VELA02 280 2.568 2.57142857143 0 F160W 300.5100 0.0510 300.0852 0.0513 21.9338 0.0143 4.6916 0.0878 4.6916 0.0878 0.8521 0.0266 0.9915 0.0126 -48.9873 74.4138 0.0992725633084 0.000e+00
disk VELA02 280 2.568 2.57142857143 1 F160W 298.9032 0.0769 298.4486 0.0320 19.3847 0.0026 35.8038 0.0548 35.8038 0.0548 1.0000 0.0 0.4451 0.0010 -85.6995 0.0809 0.33872340434 0.000e+00
other VELA02 280 2.568 2.57142857143 1 F160W 18.8072 0.1697 173.0591 0.2528 23.2396 0.0143 31.1009 0.3239 31.1009 0.3239 1.4095 0.0207 0.3563 0.0056 36.4046 0.3190 0.956171178626 0.000e+00
bulge VELA02 280 2.568 2.57142857143 1 F160W 245.7263 0.1350 296.6904 0.0932 20.8189 0.0071 26.4508 0.1867 26.4508 0.1867 1.0425 0.0103 0.7499 0.0046 83.6141 0.8579 0.414103701416 0.000e+00
disk VELA02 280 2.568 2.57142857143 5 F160W 301.7113 0.0561 301.8134 0.0530 19.2467 0.0027 36.8836 0.0469 36.8836 0.0469 1.0000 0.0 0.7925 0.0015 87.3336 0.3295 0.240826210017 0.000e+00
other VELA02 280 2.568 2.57142857143 5 F160W 371.4859 0.0904 250.8560 0.0523 21.0794 0.0067 20.6153 0.1327 20.6153 0.1327 0.8465 0.0111 0.5659 0.0035 -69.3414 0.3742 0.646608682832 0.000e+00
bulge VELA02 280 2.568 2.57142857143 5 F160W 300.5609 0.0985 299.1017 0.0394 21.7882 0.0156 10.1250 0.1949 10.125 0.1949 0.9005 0.0265 0.3658 0.0050 -89.4111 0.5020 0.087808183782 0.000e+00
disk VELA02 280 2.568 2.57142857143 6 F160W 303.8391 0.0560 300.0917 0.0285 19.5927 0.0026 34.2216 0.0418 34.2216 0.0418 1.0000 0.0 0.4172 0.0010 -88.7265 0.0778 0.289917496307 0.000e+00
other VELA02 280 2.568 2.57142857143 6 F160W 382.7050 0.0398 281.8033 0.0347 20.6571 0.0042 14.9973 0.0411 14.9973 0.0411 0.8544 0.0063 0.8499 0.0031 28.0371 0.9331 0.558210592467 0.000e+00
bulge VELA02 280 2.568 2.57142857143 6 F160W 250.3507 0.1357 301.4043 0.0692 20.9451 0.0059 27.2822 0.1343 27.2822 0.1343 0.9118 0.0086 0.6842 0.0036 62.5983 0.7125 0.462291729437 0.000e+00
other VELA02 280 2.568 2.57142857143 7 F160W 326.7653 0.1152 221.6720 0.0559 21.2194 0.0074 21.8163 0.1735 21.8163 0.1735 1.0707 0.0143 0.4547 0.0032 81.7552 0.3078 0.663932687615 0.000e+00
disk VELA02 280 2.568 2.57142857143 7 F160W 303.0893 0.0795 301.4584 0.0608 19.2794 0.0028 35.4119 0.0475 35.4119 0.0475 1.0000 0.0 0.8969 0.0019 -86.4135 0.7085 0.241178256818 0.000e+00
bulge VELA02 280 2.568 2.57142857143 7 F160W 299.8124 0.0469 299.2927 0.0407 21.6743 0.0170 7.7524 0.1575 7.7524 0.1575 0.9993 0.0263 0.5821 0.0066 76.7510 0.9903 0.103004244911 0.000e+00
other VELA02 280 2.568 2.57142857143 8 F160W 335.2192 0.1249 224.7625 0.0612 21.2025 0.0076 22.7679 0.1789 22.7679 0.1789 1.0126 0.0140 0.4523 0.0032 86.9378 0.3071 0.659632232566 0.000e+00
disk VELA02 280 2.568 2.57142857143 8 F160W 303.1034 0.0784 301.4966 0.0577 19.2907 0.0028 34.3371 0.0506 34.3371 0.0506 1.0000 0.0 0.9222 0.0021 -86.1649 0.9881 0.241177725782 0.000e+00
