galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle, [component seperation distance]
VELA02, 250, 2.171, cam0, F160W, bulge, , 299.2307, 301.9680, , 1.2418, 20.3847, 18.4525, 0.8546, -55.0835, 5.56204800051
*VELA02, 250, 2.171, cam1, F160W, disk, *, 314.6231, 301.9876, *, 0.4650, 19.8737, 49.3904, 0.4162, -79.0415, 15.390280077
*VELA02, 250, 2.171, cam1, F160W, bulge, *, 299.2585, 301.0989, , 1.2722, 20.9315, 24.4255, 0.2888, 70.4960, 15.390280077
*VELA02, 250, 2.171, cam5, F160W, disk, , 294.6798, 296.7172, *, 0.2236, 20.3075, 56.3329, 0.8592, -17.6696, 7.70101760029
VELA02, 250, 2.171, cam5, F160W, bulge, , 300.5196, 301.7374, , 1.4983, 20.0966, 23.2314, 0.8252, -71.2239, 7.70101760029
*VELA02, 250, 2.171, cam6, F160W, bulge, , 372.0881, 302.0238, *, 19.9536, 26.6940, 0.4510, 0.2548, 77.8621, 0.00340587727318
VELA02, 250, 2.171, cam6, F160W, disk, , 372.0915, 302.0236, , 1.0000, 26.6873, 4.7111, 0.9995, -75.7819, 0.00340587727318
*VELA02, 250, 2.171, cam7, F160W, disk, , 296.7924, 304.6898, *, 0.3349, 19.9688, 56.8173, 0.8148, 80.5934, 6.91523129403
VELA02, 250, 2.171, cam7, F160W, bulge, , 302.5035, 300.7906, , 0.9464, 20.6182, 15.1763, 0.8158, -76.9283, 6.91523129403
*VELA02, 250, 2.171, cam8, F160W, disk, , 296.6904, 304.7485, *, 0.2326, 20.3181, 61.0190, 0.7867, 89.4834, 6.43174785731
VELA02, 250, 2.171, cam8, F160W, bulge, , 301.7899, 300.8290, , 1.5484, 20.1677, 21.0958, 0.9037, 77.7918, 6.43174785731
VELA02, 260, 2.301, cam0, F160W, disk, , 293.0830, 299.1292, , 0.5367, 19.3186, 48.6427, 0.8821, 48.4149, 9.11979665179
VELA02, 260, 2.301, cam0, F160W, bulge, , 302.0379, 300.8556, , 0.9435, 20.6000, 12.4929, 0.8562, -10.6424, 9.11979665179
VELA02, 260, 2.301, cam1, F160W, disk, , 304.6115, 300.7459, , 0.8175, 19.2941, 35.3448, 0.3882, -87.5159, 0.711824767762
*VELA02, 260, 2.301, cam1, F160W, bulge, , 304.5516, 301.4552, *, 17.1503, 22.8821, 33.3251, 0.8256, -64.7412, 0.711824767762
VELA02, 260, 2.301, cam5, F160W, disk, , 293.0863, 303.3414, , 0.5647, 19.3173, 44.3074, 0.9062, 60.5669, 9.78762432105
VELA02, 260, 2.301, cam5, F160W, bulge, , 302.2330, 299.8578, , 1.1908, 20.6363, 14.3438, 0.6259, -64.6608, 9.78762432105
VELA02, 260, 2.301, cam6, F160W, disk, , 298.2100, 299.6004, , 0.7708, 19.2609, 39.1024, 0.3863, -89.2989, 4.64872094344
*VELA02, 260, 2.301, cam6, F160W, bulge, , 302.4904, 301.4139, *, 10.2906, 22.3920, 15.5897, 0.9675, -58.9263, 4.64872094344
VELA02, 260, 2.301, cam7, F160W, disk, , 297.3213, 307.7216, , 0.5421, 19.3529, 45.6410, 0.8960, -70.2759, 9.34726503369
VELA02, 260, 2.301, cam7, F160W, bulge, , 301.4073, 299.3147, , 1.2475, 20.6467, 14.8697, 0.6394, -89.0686, 9.34726503369
*VELA02, 260, 2.301, cam8, F160W, disk, *, 296.0007, 308.2731, , 0.5085, 19.4607, 45.3698, 0.9310, -59.5140, 10.5500089957
*VELA02, 260, 2.301, cam8, F160W, bulge, *, 301.6277, 299.3490, , 1.6464, 20.3621, 18.5129, 0.6969, -84.2913, 10.5500089957
*VELA02, 270, 2.434, cam0, F160W, disk, , 302.2610, 300.9938, *, 0.1973, 19.7169, 66.7652, 0.8459, 14.7363, 3.35650667212
VELA02, 270, 2.434, cam0, F160W, bulge, , 299.8940, 298.6140, , 1.6782, 19.8680, 20.2375, 0.9004, -86.1033, 3.35650667212
VELA02, 270, 2.434, cam1, F160W, bulge, , 303.8166, 299.9897, , 0.5412, 19.2734, 48.1682, 0.3069, 88.8045, 0.198634463274
*VELA02, 270, 2.434, cam1, F160W, disk, , 303.8964, 300.1716, *, 0.4103, 22.0994, 8.9164, 0.4510, -84.6116, 0.198634463274
*VELA02, 270, 2.434, cam5, F160W, disk, , 301.2366, 298.3800, *, 0.2566, 19.6924, 56.1951, 0.9045, -84.1523, 2.62870184882
VELA02, 270, 2.434, cam5, F160W, bulge, , 298.6651, 298.9254, , 1.6985, 20.0208, 21.6130, 0.6986, -84.3505, 2.62870184882
VELA02, 270, 2.434, cam6, F160W, disk, , 304.0850, 299.1674, , 0.5155, 19.4181, 52.5545, 0.3263, 86.7964, 3.26513124545
VELA02, 270, 2.434, cam6, F160W, bulge, , 301.3788, 300.9943, , 0.5715, 21.4795, 15.7800, 0.3078, -82.2422, 3.26513124545
*VELA02, 270, 2.434, cam7, F160W, disk, , 300.7633, 298.7778, *, 0.2181, 19.6957, 63.3413, 0.7506, -75.7596, 2.591930626
VELA02, 270, 2.434, cam7, F160W, bulge, , 298.4704, 299.9864, , 1.7524, 19.9651, 19.8723, 0.8224, 86.5021, 2.591930626
*VELA02, 270, 2.434, cam8, F160W, disk, , 299.2654, 298.7122, *, 0.3168, 19.4502, 58.0938, 0.8035, -75.8172, 1.29299861175
VELA02, 270, 2.434, cam8, F160W, bulge, , 298.5300, 299.7757, , 1.0778, 20.3700, 14.9784, 0.6403, 88.7402, 1.29299861175
*VELA02, 280, 2.568, cam0, F160W, disk, , 308.2369, 303.2397, *, 0.1536, 19.4527, 70.4687, 0.8744, 74.1243, 8.19548187357
VELA02, 280, 2.568, cam0, F160W, bulge, , 300.5154, 300.4930, , 1.8468, 19.9053, 18.4734, 0.9653, -69.1064, 8.19548187357
*VELA02, 280, 2.568, cam1, F160W, disk, *, 292.9993, 296.7983, *, 0.4010, 19.2730, 53.6854, 0.3248, -88.2062, 10.2415226534
*VELA02, 280, 2.568, cam1, F160W, bulge, *, 302.8042, 299.7568, , 2.5936, 21.1177, 15.4072, 0.8235, 85.7625, 10.2415226534
*VELA02, 280, 2.568, cam5, F160W, disk, , 331.4798, 372.1570, *, 0.1478, 31.2495, 3.1135, 0.3645, -74.6539, 0.0507292814851
VELA02, 280, 2.568, cam5, F160W, bulge, , 331.4537, 372.1135, , 0.8329, 31.0720, 2.6986, 0.9865, -53.8599, 0.0507292814851
*VELA02, 280, 2.568, cam6, F160W, bulge, , 293.6392, 299.9899, *, 19.9365, 28.0886, 1.2522, 0.0973, -68.5583, 0.127692912881
VELA02, 280, 2.568, cam6, F160W, disk, , 293.5990, 300.1111, , 1.9863, 21.4217, 9.5045, 0.9035, -68.7483, 0.127692912881
*VELA02, 280, 2.568, cam7, F160W, disk, , 307.1887, 294.5819, *, 0.1338, 19.4865, 63.8721, 0.9034, 59.4945, 8.28059898618
VELA02, 280, 2.568, cam7, F160W, bulge, , 300.6406, 299.6505, , 1.7869, 19.9012, 19.2904, 0.8392, -80.4877, 8.28059898618
*VELA02, 280, 2.568, cam8, F160W, disk, *, 320.5780, 305.8790, *, 0.1340, 21.4080, 7900.8647, 0.0250, 3.5591, 17.2205134979
*VELA02, 280, 2.568, cam8, F160W, bulge, *, 304.6972, 299.2197, *, 0.4805, 19.1370, 50.0240, 0.8934, 69.9645, 17.2205134979
*VELA02, 290, 2.704, cam0, F160W, disk, , 306.1813, 302.5314, *, 0.2858, 19.5707, 67.3810, 0.8527, 8.4517, 6.16987474751
VELA02, 290, 2.704, cam0, F160W, bulge, , 300.2141, 300.9630, , 1.9504, 19.7303, 22.5748, 0.9209, 84.1085, 6.16987474751
*VELA02, 290, 2.704, cam1, F160W, disk, , 293.7164, 295.7331, *, 0.2325, 20.2872, 82.7429, 0.3514, 85.2874, 6.38552787559
VELA02, 290, 2.704, cam1, F160W, bulge, , 298.2309, 300.2491, , 0.7113, 19.6134, 40.3846, 0.2538, -88.3330, 6.38552787559
*VELA02, 290, 2.704, cam5, F160W, bulge, *, 298.7873, 301.4878, , 0.8720, 19.1559, 38.2769, 0.7618, 86.3182, 63.9705386831
*VELA02, 290, 2.704, cam5, F160W, disk, *, 341.8075, 348.8322, , 1.5855, 21.3580, 47.8084, 0.6912, -42.8374, 63.9705386831
VELA02, 290, 2.704, cam6, F160W, disk, , 299.6164, 298.5712, , 0.6478, 19.2044, 46.1669, 0.3733, -88.8246, 3.83411472181
*VELA02, 290, 2.704, cam6, F160W, bulge, , 299.4861, 302.4031, *, 18.0236, 22.5079, 150.1623, 0.8665, 67.2337, 3.83411472181
*VELA02, 290, 2.704, cam7, F160W, bulge, , 348.0562, 353.6617, *, 19.9848, 25.2064, 2.7919, 0.5683, -25.8415, 0.000223606797745
VELA02, 290, 2.704, cam7, F160W, disk, , 348.0564, 353.6616, , 0.9999, 25.2059, 2.7403, 0.9999, 47.8571, 0.000223606797745
*VELA02, 290, 2.704, cam8, F160W, disk, *, 314.9641, 315.7456, *, 0.3555, 19.2586, 70.1449, 0.6018, -52.6075, 21.1663797341
*VELA02, 290, 2.704, cam8, F160W, bulge, *, 300.5113, 300.2817, , 2.2187, 20.0118, 20.6648, 0.8733, 87.4939, 21.1663797341
*VELA02, 300, 2.842, cam0, F160W, disk, , 295.9830, 297.9746, *, 0.2175, 19.2122, 66.2315, 0.8376, 71.5472, 5.50025646766
VELA02, 300, 2.842, cam0, F160W, bulge, , 300.6955, 300.8110, , 2.2642, 19.8355, 19.5900, 0.8871, -76.6625, 5.50025646766
*VELA02, 300, 2.842, cam1, F160W, disk, *, 309.4028, 301.9293, , 0.6104, 19.2084, 54.8445, 0.3185, 83.9227, 10.0990654345
*VELA02, 300, 2.842, cam1, F160W, bulge, *, 299.4444, 300.2496, , 2.6646, 20.5306, 17.7861, 0.7191, -76.7934, 10.0990654345
*VELA02, 300, 2.842, cam5, F160W, disk, , 292.5476, 300.5853, *, 0.2641, 19.2829, 64.4171, 0.7361, 75.1685, 7.95496494273
VELA02, 300, 2.842, cam5, F160W, bulge, , 300.5006, 300.4085, , 2.2153, 19.7500, 20.9395, 0.7531, 70.7771, 7.95496494273
VELA02, 300, 2.842, cam6, F160W, disk, , 297.3837, 300.9742, , 0.5782, 19.1118, 56.1143, 0.2853, 89.1856, 2.7910815556
VELA02, 300, 2.842, cam6, F160W, bulge, , 300.1402, 300.5362, , 2.6760, 20.6843, 21.3317, 0.5737, 72.4400, 2.7910815556
*VELA02, 300, 2.842, cam7, F160W, disk, , 292.5015, 304.9609, *, 0.2542, 19.2058, 60.2973, 0.9389, 29.6795, 9.28257278237
VELA02, 300, 2.842, cam7, F160W, bulge, , 300.6890, 300.5870, , 2.1677, 19.7871, 20.2316, 0.8475, 52.7359, 9.28257278237
*VELA02, 300, 2.842, cam8, F160W, disk, , 292.3144, 304.0585, *, 0.2471, 19.2304, 61.1173, 0.9182, 41.2619, 9.14306143586
VELA02, 300, 2.842, cam8, F160W, bulge, , 300.7643, 300.5664, , 2.0883, 19.7507, 20.5883, 0.8373, 62.8258, 9.14306143586
*VELA02, 310, 2.982, cam0, F160W, disk, , 296.1965, 301.0899, *, 0.2803, 19.5538, 64.0002, 0.7534, 43.0259, 4.12788258796
VELA02, 310, 2.982, cam0, F160W, bulge, , 300.2736, 300.4444, , 2.1525, 19.8649, 18.1769, 0.8422, -18.8277, 4.12788258796
VELA02, 310, 2.982, cam1, F160W, disk, , 300.5269, 300.4761, , 0.8767, 19.1140, 42.0264, 0.3436, 87.7526, 1.51276211613
VELA02, 310, 2.982, cam1, F160W, bulge, , 300.9618, 301.9250, , 0.8294, 23.2995, 2.5622, 0.9759, 79.2170, 1.51276211613
*VELA02, 310, 2.982, cam5, F160W, disk, , 296.7074, 303.3634, *, 0.3470, 19.4270, 51.9609, 0.7941, 62.3173, 4.56576099353
VELA02, 310, 2.982, cam5, F160W, bulge, , 300.3458, 300.6051, , 2.4799, 20.0272, 16.9353, 0.8499, -39.2890, 4.56576099353
*VELA02, 310, 2.982, cam6, F160W, disk, , 307.3363, 306.9438, *, 0.3217, 19.7129, 77.0870, 0.4427, -76.7962, 7.7857749839
VELA02, 310, 2.982, cam6, F160W, bulge, , 301.8596, 301.4099, , 1.1985, 19.6799, 32.4578, 0.3388, 83.1201, 7.7857749839
